code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
270,Kia,Transportation,2016,Q1,13401181000000.0,22838358000000.0,36239539000000.0,10727140000000.0,4096026000000.0,14823166000000.0,,21416373000000.0,7806454000000.0,639335000000.0,1308067000000.0,1160849000000.0,1160849000000.0,,
5380,Hyundai_Motor,Transportation,2016,Q1,22614012000000.0,44836108000000.0,67450120000000.0,11172772000000.0,5615205000000.0,16787977000000.0,46534754000000.0,50662143000000.0,11542128000000.0,11542128000000.0,11542128000000.0,11542128000000.0,11542128000000.0,,
9540,Korea_Shipbuilding_&_Offshore_Engineering,Transportation,2016,Q1,13306516787000.0,16626556232000.0,29933073019000.0,11483476647000.0,5677722682000.0,17161199329000.0,11776303512000.0,12771873690000.0,5554388789000.0,101316276000.0,463455583000.0,394604234000.0,394604234000.0,380000000000.0,
12330,Hyundai_Mobis,Transportation,2016,Q1,10501478000000.0,13490730000000.0,23992208000000.0,4923169000000.0,526798000000.0,5449967000000.0,17085565000000.0,18542241000000.0,4948419000000.0,471545000000.0,653419000000.0,499357000000.0,499357000000.0,,
86280,Hyundai_Glovis,Transportation,2016,Q1,3177587356110.0,3813154608423.0,6990741964533.0,2594257471140.0,1567229806088.0,4161487277228.0,18750000000.0,2829254687305.0,3013663591347.0,134444268571.0,221428222272.0,181386902298.0,181386902298.0,,
