code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용,이자비용
3550,LG_Corporation,etc,2024,Q1,2137967000000.0,8246509000000.0,10384476000000.0,723041000000.0,163457000000.0,886498000000.0,8188630000000.0,9497978000000.0,481546000000.0,428263000000.0,444519000000.0,406425000000.0,406425000000.0,801613000000.0,419448000000.0,53283000000.0,406425000000.0
34730,SK_Inc,etc,2024,Q1,2516553000000.0,26520227000000.0,29036780000000.0,5759797000000.0,7130495000000.0,12890292000000.0,12752234000000.0,16146488000000.0,606350000000.0,472873000000.0,477969000000.0,477969000000.0,1236876000000.0,16143000000.0,484110000000.0,630526000000.0
