,name,sector,year,quarter,유동자산_lag1,유동자산_lag2,유동자산_lag3,유동자산_lag4,비유동자산_lag1,비유동자산_lag2,비유동자산_lag3,비유동자산_lag4,자산총계_lag1,자산총계_lag2,자산총계_lag3,자산총계_lag4,유동부채_lag1,유동부채_lag2,유동부채_lag3,유동부채_lag4,비유동부채_lag1,비유동부채_lag2,비유동부채_lag3,비유동부채_lag4,부채총계_lag1,부채총계_lag2,부채총계_lag3,부채총계_lag4,이익잉여금_lag1,이익잉여금_lag2,이익잉여금_lag3,이익잉여금_lag4,자본총계_lag1,자본총계_lag2,자본총계_lag3,자본총계_lag4,매출액_lag1,매출액_lag2,매출액_lag3,매출액_lag4,영업이익_lag1,영업이익_lag2,영업이익_lag3,영업이익_lag4,법인세차감전 순이익_lag1,법인세차감전 순이익_lag2,법인세차감전 순이익_lag3,법인세차감전 순이익_lag4,당기순이익_lag1,당기순이익_lag2,당기순이익_lag3,당기순이익_lag4,당기순이익(손실)_lag1,당기순이익(손실)_lag2,당기순이익(손실)_lag3,당기순이익(손실)_lag4,자본금_lag1,자본금_lag2,자본금_lag3,자본금_lag4,Label,Code
0,경방,경기소비재,2018,Q4,0.06578589527217742,0.06325777210111783,0.06419429336794,0.059607002254336926,1131249732141.0,1126451810394.0,1124982619291.0,1127591072954.0,1210910567948.0,1202520583406.0,1202154048985.0,1199063663444.0,90807836605.0,246222084406.0,251451414217.0,249334914051.0,396977541778.0,237521733289.0,238368469515.0,238763826245.0,0.4028252715719522,0.40227487526646055,0.40745184375127597,0.40706657634346344,712930153348.0,706966487057.0,698901709648.0,697532447200.0,0.5971747284280478,0.5977251247335394,0.592548156248724,0.5929334236565366,66783712661.0,72681515367.0,66751216872.0,73993675825.0,0.14299513934595628,0.13326452433045624,0.14627201554576627,0.15851451384494047,7651044674.0,10385940673.0,8076288984.0,7185297314.0,0.08929821439056697,0.11096050169396574,0.09444039140272709,0.06632755689293396,5963666291.0,8064777409.0,6304011048.0,4907819743.0,13707635000.0,13707635000.0,13707635000.0,13707635000.0,-0.24781300846220033,000050
1,하이트진로,생활소비재,2018,Q4,0.22500520944205313,0.22509493584409787,0.2451583760734102,0.28686298786731373,2396513822987.0,2409753311960.0,2411501279319.0,2427101600937.0,3092296686616.0,3109740048718.0,3194711583040.0,3403415556400.0,1326780260111.0,1383504897338.0,1282017350469.0,1647958952654.0,528647314634.0,496336143032.0,691562305939.0,483206470757.0,0.6000160278202329,0.6045010228893474,0.6177645790891695,0.6261843104652385,247523382186.0,240553278663.0,231786196947.0,280673624446.0,0.39998397217976706,0.3954989771106526,0.3822354209108305,0.3738156895347615,438495919009.0,434445744223.0,370440897398.0,401762676748.0,0.058712709863262345,0.05614951570909775,0.05035611864409848,0.06356853816219288,12313219239.0,14172616597.0,7975594840.0,2238878475.0,0.01589548094028428,0.020179923114863975,0.012861870615438488,-0.009061217703115382,6970103523.0,8767081716.0,4764562893.0,-3640459079.0,368842230000.0,368842230000.0,368842230000.0,368842230000.0,-0.2342289053187161,000080
2,유한양행,헬스케어,2018,Q4,0.5028777428122745,0.5377560705611819,0.5356852370006502,0.5158229908413209,938707951166.0,890581244399.0,873214459641.0,876580887647.0,1888283893134.0,1926647788496.0,1880651939646.0,1810455414168.0,283726403045.0,308231760578.0,286233861382.0,245508009981.0,77027868461.0,90482805127.0,88722739298.0,76956144248.0,0.19104874686361553,0.2069473040613452,0.19937586151671374,0.17811217647532587,1419614024461.0,1416498589947.0,1398853815961.0,1371289765288.0,0.8089512531363845,0.7930526959386548,0.8006241384832863,0.8218878235246742,375598091433.0,383377686569.0,336148685855.0,373392327055.0,0.011659644334963816,0.06237244816201973,0.07637860095361164,0.03719223521685926,6375793619.0,28028983590.0,59380701535.0,39348097002.0,0.010064116030457242,0.04896731306667024,0.13238456127475615,0.08702373513211935,3780062773.0,18772975201.0,44500896300.0,32493994970.0,62227710000.0,62227710000.0,62227710000.0,59510420000.0,-0.32393545859737194,000100
3,CJ대한통운,산업재,2018,Q4,0.18942218845433767,0.21337766827583804,0.20817720676295695,0.20072210158305492,4769356840030.0,4449023822640.0,4376195990213.0,3777442782642.0,5883897600078.0,5655857510285.0,5526736572362.0,4726069356007.0,1643581485797.0,1212382222369.0,1421750199735.0,1093442041479.0,1763573410854.0,1954000284155.0,1621305004837.0,1311508395802.0,0.5790642747769493,0.5598412797292068,0.5506061605667354,0.5088690529317399,560708174674.5759,505966146693.59064,532775249086.54083,454314563321.1785,0.4209357252230506,0.44015872027079317,0.44939383943326466,0.4911309470682601,1581532073840.0,1573293584980.0,1388766881974.0,1344692056131.0,0.013282067671885313,0.020288010704884278,0.0144066963193716,0.020598205751801983,-11984850920.0,7925858943.0,53511123236.0,-7145981167.0,-0.007474707291453865,0.0011719349189512132,0.03559437019317217,-0.005315521358522599,-11821489324.0,1843797690.0,49432282509.0,-7147739345.0,89440078519.78891,89343447564.28839,86793152244.57184,80737798699.2917,-0.4112923954684592,000120
4,두산,산업재,2018,Q4,0.26199856601233923,0.2471881290829521,0.26596360358590776,0.2483460497276288,3536342736072.0,3514415680191.0,3108193172267.0,2969055186294.0,4791783014518.0,4668385045403.0,4234385634624.0,3950029378836.0,1425723802007.0,1314798440816.0,1340252979188.0,1319119682612.0,1029767917631.0,1012944596542.0,544146663538.0,431150948434.0,0.512438003181368,0.49861847613665655,0.4450231521941503,0.44310319321264696,1734061146016.0,1740815380272.0,1736799888644.0,1731752950996.0,0.487561996818632,0.5013815238633434,0.5549768478058497,0.556896806787353,628937976615.7039,615945271209.7344,696849211212.0,740381884313.0,0.06904350609047918,0.09818427323132639,0.17857508625512683,0.09120529112845331,23284365744.0,37797707443.0,114756057819.0,49879017422.0,0.029860911317612218,0.048003974395205505,0.15136733004912611,0.05169845248106906,18780661144.0,29567821028.0,105480204548.0,38276597664.0,134845735000.0,134845735000.0,134845735000.0,134845735000.0,-0.19044031793885385,000150
5,대림산업,건설,2018,Q4,0.5136407495931912,0.5347357201975077,0.5311504430632137,0.5276945078795142,5097823745877.0,5070133821432.0,5110673756752.0,5024250431431.0,10481601288786.0,10897320171633.0,10900455553680.0,10637713334380.0,3814175768445.0,4387586928497.0,4686508120286.0,4347875618738.0,1509906031679.0,1734230781461.0,1550321952416.0,1642151331932.0,0.5079454611405703,0.561772767390446,0.5721623322977949,0.5630934734169651,4469160099014.0,4079894643316.0,3987068913081.0,3953341765335.0,0.4920545388594298,0.43822723260955404,0.4278376677022051,0.43690652658303486,2062821005221.0,2508373974587.0,2485984429167.0,2940783462605.0,0.0810802925104407,0.06324950977101493,0.07325714424567945,-0.0048211023434010436,476591189462.0,132191632023.0,355113838841.0,-239522540574.0,0.17850277233217862,0.03700633604695393,0.11102238997509797,-0.04931612293090478,368219268257.0,92825730235.0,275999932767.0,-145028038755.0,218500000000.0,218500000000.0,218500000000.0,218500000000.0,-0.35475186587128416,000210
6,일동제약,헬스케어,2018,Q4,0.14944442053278112,0.1534908842349147,0.16007088104931877,0.14895878090105558,178756410587.0,176513385181.0,175977074295.0,175639355585.0,210164291320.0,208519178227.0,209514196287.0,206381725871.0,20457795012.0,19810111830.0,21760269995.0,19436597698.0,15680654921.0,15442182149.0,15235001391.0,15058076585.0,0.1719533309204033,0.16906020001969954,0.17657644227278307,0.16714015806109248,46237315671.0,45893546102.0,45462232715.0,44988205627.0,0.8280466690795967,0.8309397999803004,0.8234235577272169,0.8328598419389075,3838893596.0,3712801637.0,5732449410.0,3544915502.0,0.12649795594907653,0.1518473142711556,0.49138087064252,0.210236512994323,427780468.0,534609062.0,2760893490.0,-1273328712.0,0.08954912695631796,0.11616925146276001,0.4401593642672897,-0.2891617240020747,343769570.0,431313387.0,2523191288.0,-1025053878.0,10490296000.0,10490296000.0,10490296000.0,10490296000.0,-0.3042915065636749,000230
7,한국타이어월드와이드,경기소비재,2018,Q4,0.09735131338230411,0.09113794884768055,0.1043329985040033,0.08792181736419163,2075480525755.0,2080049537765.0,2071674768557.0,2087475992635.0,2299322600836.0,2288630639961.0,2312996643950.0,2288702912071.0,19516028296.0,21201319989.0,53237184936.0,22990479147.0,61155927827.0,58456783943.0,58333738814.0,59457045683.0,0.03508509684272614,0.03480601130698724,0.0482365264306937,0.036023690272406275,880568654653.0,871228794885.0,863984908299.0,867838105896.0,0.9649149031572739,0.9651939886930128,0.9517634735693064,0.9639763097275937,15149063269.0,15055210882.0,30406799024.0,17996908104.0,0.6641136918734457,0.6167047898412825,0.8303441130739129,0.20322566720152876,12190913197.0,9374677402.0,27234604630.0,9920989002.0,0.6165305142736083,0.48115477377077365,0.7779617737575375,0.4424484929847592,9339859768.0,7243886586.0,23655327303.0,7962704869.0,46510086500.0,46510086500.0,46510086500.0,46510086500.0,-0.2681688912663107,000240
8,기아차,경기소비재,2018,Q4,0.34083869378520765,0.3661318081334692,0.3807312247927638,0.39497942922594015,24452700000000.0,24034462000000.0,23812279000000.0,23356827000000.0,37096686000000.0,37917129000000.0,38452252000000.0,38605013000000.0,6840244000000.0,7765108000000.0,8535018000000.0,9123635000000.0,7267758000000.0,7098906000000.0,6908391000000.0,7344054000000.0,0.3803035667390882,0.3920131716723595,0.4016256056992449,0.42656866868559273,19351397000000.0,19421285000000.0,19324863000000.0,18396715000000.0,0.6196964332609117,0.6079868283276405,0.5983743943007551,0.5734313313144073,7492150000000.0,8404540000000.0,7161352000000.0,7587423000000.0,-0.011758707447127995,0.027942754749218875,0.002148337353058473,0.036462841204451105,-47066000000.0,149341000000.0,288602000000.0,253276000000.0,-0.0025111616825610806,0.013949127495377498,0.03749669056904339,0.021011877155128957,-18814000000.0,117236000000.0,268527000000.0,159426000000.0,1204954516961.3188,1233888535400.367,1235315242639.928,1212834166752.1982,-0.06405023712503577,000270
9,조선내화,철강_소재,2018,Q4,0.3217632206138512,0.34388746273695403,0.3420156154188562,0.31787093228674285,461187520222.0,439653969067.0,442144957677.0,463513941846.0,679980110544.0,670089266852.0,671968770138.0,679510614318.0,170275597250.0,164663555619.0,180589207219.0,180789085966.0,8029397817.0,9213278848.0,6996670978.0,9956097931.0,0.26222089779118957,0.2594830913854997,0.2791586254201607,0.28070964585070385,395344262180.0,387207438202.0,378856194553.0,357355955036.0,0.7377791022088105,0.7405169086145004,0.7208413745798393,0.7192903541492961,120582137023.0,123356324151.0,131847797880.0,86822225769.0,0.07420677421974405,0.027324757520124882,0.0792089732018511,-0.33423517508302913,8042395302.0,16005938383.0,12660291366.0,-15756322477.0,0.08617697486169058,0.0968063923206907,0.05796112277851872,-0.13785353412666668,10391403791.0,11941680711.0,7642046401.0,-11968750663.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0,-0.3006408628277,000480
