,name,sector,year,quarter,유동자산_lag1,유동자산_lag2,유동자산_lag3,유동자산_lag4,비유동자산_lag1,비유동자산_lag2,비유동자산_lag3,비유동자산_lag4,자산총계_lag1,자산총계_lag2,자산총계_lag3,자산총계_lag4,유동부채_lag1,유동부채_lag2,유동부채_lag3,유동부채_lag4,비유동부채_lag1,비유동부채_lag2,비유동부채_lag3,비유동부채_lag4,부채총계_lag1,부채총계_lag2,부채총계_lag3,부채총계_lag4,이익잉여금_lag1,이익잉여금_lag2,이익잉여금_lag3,이익잉여금_lag4,자본총계_lag1,자본총계_lag2,자본총계_lag3,자본총계_lag4,매출액_lag1,매출액_lag2,매출액_lag3,매출액_lag4,영업이익_lag1,영업이익_lag2,영업이익_lag3,영업이익_lag4,법인세차감전 순이익_lag1,법인세차감전 순이익_lag2,법인세차감전 순이익_lag3,법인세차감전 순이익_lag4,당기순이익_lag1,당기순이익_lag2,당기순이익_lag3,당기순이익_lag4,당기순이익(손실)_lag1,당기순이익(손실)_lag2,당기순이익(손실)_lag3,당기순이익(손실)_lag4,자본금_lag1,자본금_lag2,자본금_lag3,자본금_lag4,Label,Code
17,동국제강,철강_소재,2019,Q2,0.3090691762830581,0.31616664018874,0.30443759997843634,0.301109941303374,3926527982613.0,3918038998513.0,4384004659994.0,4444115223663.0,5682953846942.0,5743707793953.0,6302820077477.0,6358818770367.0,2813586455228.0,2913602769050.0,2894966140154.0,2826219173759.0,474899849528.0,431579251504.0,606023727627.0,721301705944.0,0.5786579291903868,0.5824081134621475,0.5554640343124686,0.5578899175794964,716060125508.0,721091324096.0,1124519886411.0,1131848478538.0,0.4213420708096132,0.41759188653785245,0.44453596568753145,0.44211008242050365,1231567798097.0,1401165331315.0,1346477656328.0,1353272549444.0,0.024532921340332338,0.024778211924082257,0.03424395980379193,0.01627524907384624,-6357233489.0,-396116438436.0,-13598606571.0,-55277208592.0,-0.004095511991133382,-0.2691762347131678,-0.005550061820839884,-0.03821964132373048,-5043900685.0,-377160408094.0,-7473034233.0,-51721591453.0,690953196364.0,690953196364.0,690953196364.0,690953196364.0,-0.2328874511505843,001230
18,세아베스틸,철강_소재,2019,Q2,0.3107246448843208,0.2901042719214557,0.2999439455012147,0.2996367569060014,1882744597402.0,1893920737593.0,1848176614644.0,1857586127996.0,2731483990293.0,2667885807285.0,2640040897821.0,2652318131074.0,652375430386.0,605141937081.0,485759218890.0,509841157608.0,410072353088.0,383394043689.0,453118456694.0,440146511369.0,0.3889635770334622,0.37053159399501934,0.35562997389885803,0.3581725954541971,1152733765237.0,1163181015642.0,1184383893821.0,1185509501509.0,0.6110364229665378,0.6294684060049807,0.6443700261011419,0.6418274045458029,492644928056.0,480801185376.0,513682084804.0,524031471623.0,0.027781306676609583,-0.0729075866432957,0.009799250000943002,0.04240606695848811,24156588475.0,-38707110998.0,2389006931.0,13246801344.0,0.03912509231965339,-0.0437252482074463,0.0018533448667248256,0.01953142842795394,19274778291.0,-21023151169.0,952030055.0,10235083182.0,219310595000.0,219310595000.0,219310595000.0,219310595000.0,-0.23404432238824135,001430
19,대상,생활소비재,2019,Q2,0.4167003427162149,0.3610196304553604,0.37657906994918383,0.38719765559184705,1189206483134.0,1169567401371.0,1181391016932.0,1191766136969.0,2038757383592.0,1830365152226.0,1895013401035.0,1944780642313.0,543099362249.0,484915248012.0,542696995482.0,612313025038.0,565594053172.0,425604774876.0,431039566067.0,426551507147.0,0.5438084120964115,0.49745266499456153,0.5138415174357996,0.5341808271751614,653350509316.0,648333823121.0,652988112047.0,631948076850.0,0.4561915879035885,0.5025473350054385,0.4861584825642003,0.4658191728248386,555505322303.0,531721366026.0,599791289480.0,541800204975.0,0.05598580949335405,0.014577865865974954,0.06475205483339225,0.06311502957917463,32526665873.0,-2530138924.0,29355973946.0,55404214873.0,0.044633405502235816,-0.008902127191873168,0.0350789275636881,0.07648838922257736,24794094309.0,-4733451231.0,21040035197.0,41441424959.0,36018248000.0,36018248000.0,36018248000.0,36018248000.0,-0.3220627555679656,001680
20,SK네트웍스,경기소비재,2019,Q2,0.285187026367124,0.38859350601564874,0.3299360976781906,0.33764635109014807,5773212000000.0,4205647000000.0,4283220000000.0,4309453000000.0,8076535000000.0,6878643000000.0,6392256000000.0,6506272000000.0,3469160000000.0,3287274000000.0,2777546000000.0,2855500000000.0,2440214000000.0,1375253000000.0,1420094000000.0,1443429000000.0,0.731671936046832,0.6778265713164646,0.6566758277515794,0.6607361327654301,788324000000.0,837312000000.0,815315000000.0,826396000000.0,0.26832806395316805,0.3221734286835354,0.3433241722484206,0.33926386723456997,2735817000000.0,3046653000000.0,3200627000000.0,3038329000000.0,0.004297071039473766,0.005181423680346925,0.005708256538484491,0.0028976453833669757,-9239000000.0,34903000000.0,2227000000.0,-3055000000.0,-0.003602945664859894,0.007923777338607317,-0.0043260273690123845,-0.000970270171531786,-9857000000.0,24141000000.0,-13846000000.0,-2948000000.0,648654000000.0,648654000000.0,648654000000.0,648654000000.0,-0.28396572086651695,001740
21,오리온,생활소비재,2019,Q2,0.03721649062488968,0.013972574875380945,0.007404794601733571,0.019391103662944532,1878980799839.0,1888861272205.0,1895485962221.0,1873205529244.0,1951612986245.0,1915627521178.0,1909626353132.0,1910247333306.0,30497760764.0,7891663843.0,6773247540.0,8654689240.0,23638344050.0,1986280745.0,2059391461.0,2231552257.0,0.02773915996437416,0.005156505885823584,0.004625323161525021,0.005698864909896015,14305266951.0,29594212646.0,24598261808.0,23190202172.0,0.9722608400356259,0.9948434941141764,0.995374676838475,0.994301135090104,17565824978.0,3812892711.0,3891432214.0,3711264948.0,0.8387929812265262,0.3402786845422989,0.38528810153905974,0.219789547614912,15220892860.0,6984975773.0,1808369196.0,8840065020.0,0.7647465014495148,1.3369867149141506,0.35572579294066564,1.8066006264557322,13433403197.0,5097786900.0,1384282810.0,6704773580.0,31322711000.0,31322146500.0,31322146500.0,31322026500.0,-0.33414672894226083,001800
22,고려제강,철강_소재,2019,Q2,0.19699132505756284,0.17982466173339795,0.1773848028716743,0.1751579531823764,1125337459584.0,1127511003738.0,1133691490824.0,1136885029716.0,1401401372986.0,1374719466841.0,1378155296403.0,1378306348594.0,235823461910.0,207938344132.0,215620382513.0,220602654367.0,88526958068.0,91899572919.0,94345595357.0,91577283337.0,0.23144719723436452,0.21810843905484553,0.22491367894388573,0.22649532016046536,1037758165422.0,1036223036047.0,1029957910860.0,1027643936487.0,0.7685528027656354,0.7818915609451544,0.7750863210561143,0.7735046798395346,113471681189.0,126569822553.0,112435942126.0,120673495456.0,0.061462012626601344,0.0833581059227765,0.041657702576558035,0.05083905329681047,10980324694.0,7803768375.0,2818700454.0,3725849445.0,0.07520082266858323,0.05810852276355407,0.020580379629912934,0.025349593068805916,8533163775.0,7354785415.0,2313974373.0,3059024004.0,20000000000.0,20000000000.0,20000000000.0,20000000000.0,-0.3513999099661078,002240
23,넥센타이어,경기소비재,2019,Q2,0.30562908701180974,0.3063680073135478,0.31852728542349334,0.31485801368968075,1794431954825.0,1747511039847.0,1681990414939.0,1623813850702.0,2584255649625.0,2519363377515.0,2468169860600.0,2370039908730.0,482375006249.0,444405213157.0,580697320692.0,435524768206.0,673721383764.0,672024872777.0,516026278212.0,595552568050.0,0.4473614637084224,0.4431397613770199,0.44434688892821655,0.4350464025766169,1309743146583.0,1284746060433.0,1253869560101.0,1221378654331.0,0.5526385362915776,0.5568602386229801,0.5556531110717834,0.5649535974233831,389911046161.0,391846349401.0,405169366249.0,418742230975.0,0.11103833862948019,0.11436290915177182,0.11603182197172349,0.12872280834081448,49787629945.0,48014976434.0,43007800149.0,53731418035.0,0.0914598964612943,0.09304024540928123,0.08019092378773883,0.09672931993195172,35661223911.0,36457480511.0,32490905770.0,40504651229.0,54083938500.0,54083938500.0,54083938500.0,54083938500.0,-0.27398217382357837,002350
24,KCC,건설,2019,Q2,0.2680413910988865,0.26356962827569286,0.22991267253389278,0.23489779599010158,6360505163684.0,6377177031563.0,6956999668310.0,6665955897815.0,8689706065802.0,8659579067375.0,9034039933109.0,8712503849654.0,1429932818456.0,1362943252726.0,1623436057278.0,1705852144992.0,1707699484527.0,1702084666936.0,1436648101561.0,1350401964397.0,0.361074618545618,0.3539465250926001,0.3387282081435181,0.35078941279439124,5092568190589.0,5135045575483.0,5514450202040.0,5196744168035.0,0.638925381454382,0.6460534749074,0.6612717918564819,0.6492105872056088,694541847291.0,845169743181.0,810748551482.0,885738582706.0,0.037200649538651355,0.039945857265230804,0.08827990576383908,0.08431371173292135,54022767927.0,-501617780955.0,437777634656.0,-445090085346.0,0.052106578238815586,-0.4439080328644144,0.40399638260996873,-0.3876942533833169,36190199106.0,-375177638132.0,327539482005.0,-343395758515.0,56434870000.0,56434870000.0,56434870000.0,56434870000.0,-0.2851981618994861,002380
25,아모레G,생활소비재,2019,Q2,0.1932199227245194,0.18280074465411267,0.18194710547440113,0.18084339819782158,1449105390508.0,1438686891379.0,1440870666144.0,1441077523656.0,1796159116127.0,1760509302924.0,1761341688033.0,1759221033543.0,32338399690.0,5745076801.0,4649345283.0,4631312491.0,38650074291.0,42615899572.0,44460176334.0,43152359744.0,0.03952237490744704,0.027469878342976137,0.02788188228931529,0.027161835450981175,1152138240116.0,1129719219405.0,1129550067155.0,1129021928227.0,0.960477625092553,0.9725301216570239,0.9721181177106847,0.9728381645490188,20506802609.99602,20006264855.25228,20000736365.254036,19968749204.90422,2.2088616784130046,0.015610928739554652,-0.03300119760323717,-0.07528898322939356,47766973983.0,4095840646.0,1031691041.0,-2117682669.0,2.3560606884882564,0.1640425603052237,0.04349525348033108,-0.10720679858477236,48315271476.0,3281878909.0,869937098.0,-2140785674.0,44450975000.0,44450975000.0,44450975000.0,44450975000.0,-0.1642448536647012,002790
26,한국쉘석유,에너지_화학,2019,Q2,0.8241026389736429,0.8295262162845549,0.8476960862025265,0.8303402739151609,25089904607.0,24650440522.0,20600485129.0,20083432288.0,142639460084.0,144599597573.0,135259066004.0,118374777276.0,59797086751.0,45048636508.0,41183060931.0,27521433527.0,381958010.0,0.0,376062125.0,109716288.0,0.4218961900554077,0.31154053859145453,0.30725572993954414,0.23342092336592807,74844398512.0,91934944254.0,86124200957.0,83167885470.0,0.5781038099445923,0.6884594614085455,0.6927442700604559,0.7665790766340719,51928385371.0,54102599925.0,52292134620.0,56300032967.0,0.11515598567675712,0.1334661393354471,0.13310571539257618,0.14722675299068622,6488089958.0,7790224201.0,7196367687.0,8337436724.0,0.09646851567230871,0.11095288036658989,0.10625528155193906,0.11322118061167565,5009454258.0,6002839297.0,5556315487.0,6374356201.0,7000000000.0,7000000000.0,7000000000.0,7000000000.0,-0.27562251756994915,002960
27,부광약품,헬스케어,2019,Q2,0.47170760449544474,0.4340915591650692,0.4249521370258121,0.5729560086741994,261249657175.0,286668219397.0,317441111324.0,130159058251.0,494517163976.0,506562897302.0,552025547373.0,304790749653.0,40021290290.0,38046837964.0,39211306373.0,31781721908.0,35540697401.0,42121638259.0,54697513993.0,9473238449.0,0.1527995248607128,0.15825966854261256,0.1701168013199694,0.1353550276836426,343054370001.0,356410847974.0,240811979182.0,212414343571.0,0.8472004751392872,0.8417403314573875,0.8298831986800306,0.8646449723163574,35772240361.0,42060201329.0,74971124102.0,40356045883.0,0.06479283977211896,0.020378428892802888,0.380140729172283,0.07603311716653001,6345784265.0,148250829669.0,35903820093.0,8806167862.0,0.10579904830691463,2.7678477801943475,0.38160247516199103,0.04908659388343277,3784668986.0,116416234883.0,28609166523.0,1980940835.0,31765683500.0,24435141500.0,24435141500.0,24435141500.0,-0.3187748276807889,003000
