Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2018,Q1,BS,유동자산,2018.03.31 현재,3457418057023.0
2018,Q1,BS,비유동자산,2018.03.31 현재,2282781560082.0
2018,Q1,BS,자산총계,2018.03.31 현재,5740199617105.0
2018,Q1,BS,유동부채,2018.03.31 현재,881079863354.0
2018,Q1,BS,비유동부채,2018.03.31 현재,56925265677.0
2018,Q1,BS,부채총계,2018.03.31 현재,938005129031.0
2018,Q1,BS,자본금,2018.03.31 현재,38688900000.0
2018,Q1,BS,이익잉여금,2018.03.31 현재,3543868864461.0
2018,Q1,BS,자본총계,2018.03.31 현재,4802194488074.0
2018,Q1,IS,매출액,2018.01.01 ~ 2018.03.31,1176840965775.0
2018,Q1,IS,영업이익,2018.01.01 ~ 2018.03.31,130782220208.0
2018,Q1,IS,법인세차감전 순이익,2018.01.01 ~ 2018.03.31,144234043348.0
2018,Q1,IS,당기순이익,2018.01.01 ~ 2018.03.31,107494556509.0
2018,Q1,IS,당기순이익(손실),2018.01.01 ~ 2018.03.31,107494556509.0
2018,Q2,BS,유동자산,2018.06.30 현재,3529856574649.0
2018,Q2,BS,비유동자산,2018.06.30 현재,2301260462782.0
2018,Q2,BS,자산총계,2018.06.30 현재,5831117037431.0
2018,Q2,BS,유동부채,2018.06.30 현재,783010732410.0
2018,Q2,BS,비유동부채,2018.06.30 현재,94926035028.0
2018,Q2,BS,부채총계,2018.06.30 현재,877936767438.0
2018,Q2,BS,자본금,2018.06.30 현재,38688900000.0
2018,Q2,BS,이익잉여금,2018.06.30 현재,3699452260439.0
2018,Q2,BS,자본총계,2018.06.30 현재,4953180269993.0
2018,Q2,IS,매출액,2018.01.01 ~ 2018.06.30,1293247016842.0
2018,Q2,IS,영업이익,2018.01.01 ~ 2018.06.30,188896617108.0
2018,Q2,IS,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,214216064665.0
2018,Q2,IS,당기순이익,2018.01.01 ~ 2018.06.30,155583395978.0
2018,Q2,IS,당기순이익(손실),2018.01.01 ~ 2018.06.30,155583395978.0
2018,Q3,BS,유동자산,2018.09.30 현재,3716317365169.0
2018,Q3,BS,비유동자산,2018.09.30 현재,2327947295260.0
2018,Q3,BS,자산총계,2018.09.30 현재,6044264660429.0
2018,Q3,BS,유동부채,2018.09.30 현재,826173163468.0
2018,Q3,BS,비유동부채,2018.09.30 현재,123227702867.0
2018,Q3,BS,부채총계,2018.09.30 현재,949400866335.0
2018,Q3,BS,자본금,2018.09.30 현재,38688900000.0
2018,Q3,BS,이익잉여금,2018.09.30 현재,3843588189909.0
2018,Q3,BS,자본총계,2018.09.30 현재,5094863794094.0
2018,Q3,IS,매출액,2018.01.01 ~ 2018.09.30,1224649428291.0
2018,Q3,IS,영업이익,2018.01.01 ~ 2018.09.30,153185058480.0
2018,Q3,IS,법인세차감전 순이익,2018.01.01 ~ 2018.09.30,198454541975.0
2018,Q3,IS,당기순이익,2018.01.01 ~ 2018.09.30,144135929470.0
2018,Q3,IS,당기순이익(손실),2018.01.01 ~ 2018.09.30,144135929470.0
2018,Q4,BS,유동자산,2018.12.31 현재,3860862108168.0
2018,Q4,BS,비유동자산,2018.12.31 현재,2317241067064.0
2018,Q4,BS,자산총계,2018.12.31 현재,6178103175232.0
2018,Q4,BS,유동부채,2018.12.31 현재,912977182323.0
2018,Q4,BS,비유동부채,2018.12.31 현재,94477770715.0
2018,Q4,BS,부채총계,2018.12.31 현재,1007454953038.0
2018,Q4,BS,자본금,2018.12.31 현재,38688900000.0
2018,Q4,BS,이익잉여금,2018.12.31 현재,3970871146845.0
2018,Q4,BS,자본총계,2018.12.31 현재,5170648222194.0
2018,Q4,IS,매출액,2018.01.01 ~ 2018.12.31,1388981038489.0
2018,Q4,IS,영업이익,2018.01.01 ~ 2018.12.31,193743283528.0
2018,Q4,IS,법인세차감전 순이익,2018.01.01 ~ 2018.12.31,190331683913.0
2018,Q4,IS,당기순이익,2018.01.01 ~ 2018.12.31,127282956936.0
2018,Q4,IS,당기순이익(손실),2018.01.01 ~ 2018.12.31,127282956936.0
