날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2015-10-01,1465.1,1483.19,1459.31,1476.23,24913996,2082197037313,771485855626160
2015-10-02,1472.95,1480.39,1468.15,1468.15,24044613,2043025703205,767680558890890
2015-10-05,1474.23,1484.4,1467.45,1469.4,23780355,1910514484940,768870676538040
2015-10-06,1483.01,1486.35,1476.76,1486.06,28618730,2313646104551,776454288535540
2015-10-07,1495.23,1519.17,1495.23,1518.52,27074151,2718452254313,791733335880450
2015-10-08,1526.09,1538.13,1518.41,1538.13,32035078,2664092483703,801188541641820
2015-10-12,1537.75,1543.98,1531.59,1537.9,36600012,2600506984299,800494999469090
2015-10-13,1536.97,1543.46,1530.19,1536.36,28372285,2039852665456,800382558299580
2015-10-14,1532.64,1535.95,1524.61,1532.49,28106605,1824030428400,798390662719320
2015-10-15,1530.89,1556.12,1529.92,1551.13,27359991,1854133243380,808079175463550
2015-10-16,1553.56,1553.56,1542.38,1548.2,25583814,2348778514831,806792195593400
2015-10-19,1548.03,1550.92,1541.29,1548.54,19309165,1493802365117,806782982518720
2015-10-20,1549.21,1556.3,1547.08,1554.45,22963598,1734870397145,809510700482430
2015-10-21,1552.91,1567.58,1550.0,1560.35,38980109,2388121300733,812656469854520
2015-10-22,1561.22,1565.1,1549.78,1552.55,42313163,2781235575393,808758997809620
2015-10-23,1568.22,1578.4,1562.55,1565.16,34516840,2406265219070,815166421031000
2015-10-26,1572.53,1572.73,1564.38,1570.2,25455164,1740928532671,817767892877680
2015-10-27,1562.96,1570.89,1558.42,1568.7,24856819,1487969663805,816887615558290
2015-10-28,1567.77,1567.77,1557.22,1565.72,28165129,2388738355720,814837632891570
2015-10-29,1578.31,1595.55,1563.18,1563.18,93745380,3336774097378,812777241685810
2015-10-30,1566.05,1581.06,1564.56,1569.58,35681822,3123011605866,813751682117770
2015-11-02,1573.39,1582.24,1571.72,1582.03,24534431,2289172992665,820111316455590
2015-11-03,1586.65,1594.61,1583.45,1587.68,52817424,3100621627386,823630309083790
2015-11-04,1590.93,1595.19,1579.43,1585.75,26910518,2310551846240,823011052678440
2015-11-05,1582.11,1584.89,1575.5,1582.31,21130549,1665708766616,820281620906340
2015-11-06,1580.42,1581.68,1567.92,1571.19,20518284,1464645391230,814852442769690
2015-11-09,1567.8,1572.45,1557.98,1569.19,21163808,1574090874011,812626331166460
2015-11-10,1559.61,1563.45,1545.12,1550.63,26097951,2033690024955,803170023482370
2015-11-11,1548.39,1555.3,1537.82,1549.71,19077431,1429716174218,802114292995080
2015-11-12,1548.59,1551.14,1544.5,1544.61,17032834,1313027235414,799801719513750
2015-11-13,1533.53,1538.11,1528.72,1528.77,20770287,1569895753911,791783355485670
2015-11-16,1507.15,1518.16,1505.24,1505.42,27574740,1987621305328,780017997499620
2015-11-17,1525.23,1529.85,1517.45,1517.45,20118622,1755572854245,786256114958060
2015-11-18,1521.16,1530.33,1521.0,1525.65,23123260,1643189434647,791003351219170
2015-11-19,1535.37,1544.14,1531.49,1544.14,23468031,1850809411042,800408882594080
2015-11-20,1543.19,1547.8,1537.93,1541.46,19361378,1537608602987,798998736548790
2015-11-23,1544.66,1553.33,1540.41,1545.84,19644630,1646777820096,802969303114710
2015-11-24,1545.64,1560.91,1545.07,1557.06,25091618,1873508766948,808931535427200
2015-11-25,1559.12,1560.15,1551.13,1551.13,28579004,1782552914280,805510343727660
2015-11-26,1555.15,1575.75,1555.15,1571.57,34656593,1940455122111,815704089768930
2015-11-27,1578.6,1579.56,1567.83,1568.7,22213433,1508518236378,814579304207030
2015-11-30,1563.62,1563.62,1535.53,1536.5,48741117,3189183879869,797708902096040
2015-12-01,1544.12,1569.21,1544.12,1567.66,25110300,1926914695586,813901588287440
2015-12-02,1568.32,1569.22,1552.18,1552.19,20100091,1526618500294,806579557849010
2015-12-03,1544.5,1545.7,1530.86,1540.08,19403746,1412125672014,800281138566640
2015-12-04,1522.18,1531.77,1520.65,1524.55,20718714,1446166662118,791864659670950
2015-12-07,1534.63,1534.63,1516.8,1516.8,18611503,1341963911985,788109564593390
2015-12-08,1518.31,1523.47,1510.33,1510.33,22691803,1360695786108,784818833593430
