,0
보유 주식 수변화율,0.12999318524873116
Relative Return,0.11249054325721383
특정 증권 등 소유 증감 수변화율,0.11044235591110224
주주 수변화율,0.1047107273008055
전체 주주 수변화율,0.07954128558024016
