code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,차입부채,상각후원가측정금융자산
14830,유니드,에너지_화학,2015,Q4,2016-03-30,"350,323,335,940","419,607,652,235","769,930,988,175","194,042,062,982","38,875,271,845","232,917,334,827","44,449,215,000","459,457,148,154","537,013,653,348",514006118519,42951129984,88432026405,63478083846,63478083846,,,
14830,유니드,에너지_화학,2016,Q1,2016-05-16,"340,774,576,295","428,067,205,271","768,841,781,566","199,839,881,743","37,269,257,584","237,109,139,327","44,449,215,000","456,857,522,944","531,732,642,239",130233405422,11987781387,10558760067,7248757225,7248757225,,,
14830,유니드,에너지_화학,2016,Q2,2016-08-16,"307,957,489,156","450,773,079,177","758,730,568,333","181,582,451,431","35,989,862,787","217,572,314,218","44,449,215,000","468,340,639,035","541,158,254,115",132156272331,14918588869,15737134043,11545723463,11545723463,,,
14830,유니드,에너지_화학,2016,Q3,2016-11-14,"307,335,481,199","461,832,649,428","769,168,130,627","165,890,773,069","55,971,370,433","221,862,143,502","44,449,215,000","477,792,788,434","547,305,987,125",129207241892,11473396668,12220079011,9535235121,9535235121,,,
14830,유니드,에너지_화학,2016,Q4,2017-03-31,"290,109,058,904","518,876,963,142","808,986,022,046","167,625,983,746","79,332,167,743","246,958,151,489","44,449,215,000","489,793,505,204","562,027,870,557",123979626797,11708460310,15487311940,14457042446,14457042446,,,
14830,유니드,에너지_화학,2017,Q1,2017-05-15,"279,451,406,674","537,851,738,650","817,303,145,324","180,136,889,591","78,418,325,951","258,555,215,542","44,449,215,000","488,301,705,617","558,747,929,782",126257002905,9819575446,11453868758,8402667658,8402667658,,,
14830,유니드,에너지_화학,2017,Q2,2017-08-11,"294,732,220,650","548,837,832,287","843,570,052,937","180,940,221,841","88,603,507,902","269,543,729,743","44,449,215,000","501,015,345,387","574,026,323,194",131523570757,15015498821,16873320922,12814143917,12814143917,,,
14830,유니드,에너지_화학,2017,Q3,2017-11-14,"307,597,226,974","586,167,474,066","893,764,701,040","207,202,481,362","108,602,375,923","315,804,857,285","44,449,215,000","508,654,899,754","577,959,843,755",131914674800,10193670028,11607633638,7763357374,7763357374,,,
14830,유니드,에너지_화학,2017,Q4,2018-03-30,"268,875,968,450","602,063,801,335","870,939,769,785","147,520,508,100","145,492,172,019","293,012,680,119","44,449,215,000","508,661,476,194","577,927,089,666",122275856555,8441135496,-3084541925,-13315985,-13315985,,,
14830,유니드,에너지_화학,2018,Q1,2018-05-15,"256,699,285,173","620,362,330,509","877,061,615,682","150,783,340,559","148,614,793,712","299,398,134,271","44,449,215,000","519,367,053,335","577,663,481,411",119753523422,3824432437,3430963816,2426604674,2426604674,,,
