year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-08,2021-01-08,1.0
2021,Q1,2,2021-02-08,2021-02-08,0.0
2021,Q1,3,2021-03-05,2021-03-05,0.0
2021,Q2,4,2021-04-15,2021-04-15,0.0
2021,Q2,5,2021-05-14,2021-05-14,0.0
2021,Q2,6,2021-06-07,2021-06-23,0.0
2021,Q3,7,,,0.0
2021,Q3,8,,,0.0
2021,Q3,9,,,0.0
2021,Q4,10,,,0.0
2021,Q4,11,,,0.0
2021,Q4,12,2021-12-13,2021-12-13,1.0
2022,Q1,1,,,0.0
2022,Q1,2,,,0.0
2022,Q1,3,,,0.0
2022,Q2,4,,,0.0
2022,Q2,5,,,0.0
2022,Q2,6,2022-06-19,2022-06-19,0.0
2022,Q3,7,,,0.0
2022,Q3,8,,,0.0
2022,Q3,9,,,0.0
2022,Q4,10,,,0.0
2022,Q4,11,2022-11-17,2022-11-17,0.0
2022,Q4,12,,,0.0
2023,Q1,1,2023-01-16,2023-01-16,0.0
2023,Q1,2,,,0.0
2023,Q1,3,,,0.0
2023,Q2,4,,,0.0
2023,Q2,5,2023-05-12,2023-05-12,1.0
2023,Q2,6,2023-06-28,2023-06-28,0.0
2023,Q3,7,,,0.0
2023,Q3,8,2023-08-10,2023-08-10,0.0
2023,Q3,9,,,0.0
2023,Q4,10,2023-10-11,2023-10-11,1.0
2023,Q4,11,,,0.0
2023,Q4,12,2023-12-26,2023-12-26,1.0
2024,Q1,1,2024-01-03,2024-01-03,1.0
2024,Q1,2,,,0.0
2024,Q1,3,2024-03-13,2024-03-13,0.0
2024,Q2,4,,,0.0
2024,Q2,5,2024-05-24,2024-05-24,2.0
2024,Q2,6,2024-06-17,2024-06-17,1.0
2024,Q3,7,,,0.0
2024,Q3,8,2024-08-14,2024-08-14,2.0
2024,Q3,9,2024-09-10,2024-09-10,0.0
2024,Q4,10,2024-10-08,2024-10-25,1.0
2024,Q4,11,2024-11-11,2024-11-21,2.0
2024,Q4,12,2024-12-19,2024-12-19,1.0
2025,Q1,1,2025-01-20,2025-01-22,1.0
2025,Q1,2,2025-02-18,2025-02-28,1.0
2025,Q1,3,2025-03-03,2025-04-01,-1.0
