year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-05,2021-01-22,1.0
2021,Q1,2,2021-02-10,2021-02-22,0.0
2021,Q1,3,2021-03-07,2021-03-17,1.0
2021,Q2,4,2021-04-05,2021-04-28,1.0
2021,Q2,5,2021-05-06,2021-05-31,0.0
2021,Q2,6,2021-06-06,2021-06-29,2.0
2021,Q3,7,2021-07-06,2021-07-29,1.0
2021,Q3,8,2021-08-02,2021-08-26,1.0
2021,Q3,9,2021-09-02,2021-09-28,2.0
2021,Q4,10,2021-10-03,2021-10-28,2.0
2021,Q4,11,2021-11-07,2021-11-28,2.0
2021,Q4,12,2021-12-07,2021-12-29,-1.0
2022,Q1,1,2022-01-03,2022-01-19,1.0
2022,Q1,2,2022-02-02,2022-02-22,1.0
2022,Q1,3,2022-03-05,2022-03-28,-3.0
2022,Q2,4,2022-04-02,2022-04-22,-1.0
2022,Q2,5,2022-05-06,2022-05-26,-2.0
2022,Q2,6,2022-06-08,2022-06-27,-3.0
2022,Q3,7,2022-07-07,2022-07-18,0.0
2022,Q3,8,2022-08-01,2022-08-29,-2.0
2022,Q3,9,2022-09-04,2022-09-29,-3.0
2022,Q4,10,2022-10-05,2022-10-24,-2.0
2022,Q4,11,2022-11-04,2022-11-30,0.0
2022,Q4,12,2022-12-05,2022-12-26,0.0
2023,Q1,1,2023-01-11,2023-01-26,2.0
2023,Q1,2,2023-02-10,2023-02-24,-1.0
2023,Q1,3,2023-03-01,2023-03-22,1.0
2023,Q2,4,2023-04-02,2023-04-30,-1.0
2023,Q2,5,2023-05-03,2023-05-22,0.0
2023,Q2,6,2023-06-06,2023-06-26,-1.0
2023,Q3,7,2023-07-07,2023-07-26,-1.0
2023,Q3,8,2023-08-03,2023-08-29,0.0
2023,Q3,9,2023-09-05,2023-09-27,0.0
2023,Q4,10,2023-10-02,2023-10-29,-2.0
2023,Q4,11,2023-11-06,2023-11-29,-3.0
2023,Q4,12,2023-12-07,2023-12-26,2.0
2024,Q1,1,2024-01-04,2024-01-30,1.0
2024,Q1,2,2024-02-01,2024-02-24,2.0
2024,Q1,3,2024-03-06,2024-03-31,-1.0
2024,Q2,4,2024-04-10,2024-04-25,1.0
2024,Q2,5,2024-05-06,2024-05-29,2.0
2024,Q2,6,2024-06-03,2024-06-25,0.0
2024,Q3,7,2024-07-04,2024-07-22,-3.0
2024,Q3,8,2024-08-05,2024-08-27,0.0
2024,Q3,9,2024-09-06,2024-09-24,-1.0
2024,Q4,10,2024-10-10,2024-10-29,0.0
2024,Q4,11,2024-11-02,2024-11-28,1.0
2024,Q4,12,2024-12-03,2024-12-23,5.0
2025,Q1,1,2025-01-13,2025-01-27,0.0
2025,Q1,2,2025-02-04,2025-02-28,0.0
2025,Q1,3,2025-03-11,2025-03-23,-1.0
