year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-06,2021-01-27,0.0
2021,Q1,2,2021-02-04,2021-02-24,2.0
2021,Q1,3,2021-03-04,2021-03-25,1.0
2021,Q2,4,2021-04-08,2021-04-27,0.0
2021,Q2,5,2021-05-07,2021-05-28,0.0
2021,Q2,6,2021-06-07,2021-06-22,1.0
2021,Q3,7,2021-07-07,2021-07-15,0.0
2021,Q3,8,2021-08-05,2021-08-26,-1.0
2021,Q3,9,2021-09-03,2021-09-23,-3.0
2021,Q4,10,2021-10-04,2021-10-21,1.0
2021,Q4,11,2021-11-03,2021-11-23,1.0
2021,Q4,12,2021-12-04,2021-12-30,-2.0
2022,Q1,1,2022-01-07,2022-01-26,-3.0
2022,Q1,2,2022-02-07,2022-02-28,-4.0
2022,Q1,3,2022-03-02,2022-03-31,0.0
2022,Q2,4,2022-04-01,2022-04-28,1.0
2022,Q2,5,2022-05-05,2022-05-25,2.0
2022,Q2,6,2022-06-07,2022-06-23,1.0
2022,Q3,7,2022-07-01,2022-07-28,1.0
2022,Q3,8,2022-08-01,2022-08-29,1.0
2022,Q3,9,2022-09-01,2022-09-23,0.0
2022,Q4,10,2022-10-05,2022-10-26,0.0
2022,Q4,11,2022-11-03,2022-11-22,0.0
2022,Q4,12,2022-12-07,2022-12-25,-2.0
2023,Q1,1,2023-01-12,2023-01-26,-1.0
2023,Q1,2,2023-02-06,2023-02-22,1.0
2023,Q1,3,2023-03-02,2023-03-20,2.0
2023,Q2,4,2023-04-10,2023-04-17,1.0
2023,Q2,5,2023-05-04,2023-05-30,3.0
2023,Q2,6,2023-06-01,2023-06-28,1.0
2023,Q3,7,2023-07-03,2023-07-25,-1.0
2023,Q3,8,2023-08-07,2023-08-28,-2.0
2023,Q3,9,2023-09-07,2023-09-25,0.0
2023,Q4,10,2023-10-05,2023-10-27,1.0
2023,Q4,11,2023-11-07,2023-11-24,3.0
2023,Q4,12,2023-12-04,2023-12-26,3.0
2024,Q1,1,2024-01-03,2024-01-25,0.0
2024,Q1,2,2024-02-04,2024-02-22,-2.0
2024,Q1,3,2024-03-04,2024-03-26,4.0
2024,Q2,4,2024-04-08,2024-04-26,1.0
2024,Q2,5,2024-05-02,2024-05-29,3.0
2024,Q2,6,2024-06-05,2024-06-25,1.0
2024,Q3,7,2024-07-04,2024-07-22,-1.0
2024,Q3,8,2024-08-05,2024-08-30,3.0
2024,Q3,9,2024-09-03,2024-09-23,2.0
2024,Q4,10,2024-10-02,2024-10-22,2.0
2024,Q4,11,2024-11-04,2024-11-28,-2.0
2024,Q4,12,2024-12-04,2024-12-27,0.0
2025,Q1,1,2025-01-03,2025-01-22,1.0
2025,Q1,2,2025-02-04,2025-02-28,-1.0
2025,Q1,3,2025-03-07,2025-03-27,-1.0
