year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-02,2021-01-25,0.0
2021,Q1,2,2021-02-10,2021-02-18,0.0
2021,Q1,3,2021-03-10,2021-03-26,-1.0
2021,Q2,4,2021-04-04,2021-04-04,0.0
2021,Q2,5,2021-05-10,2021-05-15,0.0
2021,Q2,6,2021-06-01,2021-07-01,0.0
2021,Q3,7,2021-07-05,2021-07-27,1.0
2021,Q3,8,2021-08-17,2021-08-17,0.0
2021,Q3,9,2021-09-01,2021-09-19,0.0
2021,Q4,10,2021-10-03,2021-10-21,0.0
2021,Q4,11,2021-11-01,2021-11-29,1.0
2021,Q4,12,2021-12-14,2021-12-24,2.0
2022,Q1,1,2022-01-10,2022-01-24,1.0
2022,Q1,2,2022-02-14,2022-02-28,-1.0
2022,Q1,3,2022-03-07,2022-03-29,1.0
2022,Q2,4,2022-04-06,2022-04-30,2.0
2022,Q2,5,2022-05-01,2022-05-23,1.0
2022,Q2,6,2022-06-02,2022-06-20,1.0
2022,Q3,7,2022-07-18,2022-07-29,3.0
2022,Q3,8,2022-08-02,2022-08-17,1.0
2022,Q3,9,2022-09-01,2022-09-14,0.0
2022,Q4,10,2022-10-10,2022-10-26,0.0
2022,Q4,11,2022-11-07,2022-11-18,2.0
2022,Q4,12,2022-12-01,2022-12-30,0.0
2023,Q1,1,2023-01-03,2023-01-30,1.0
2023,Q1,2,2023-02-02,2023-02-24,1.0
2023,Q1,3,2023-03-07,2023-03-30,0.0
2023,Q2,4,2023-04-04,2023-04-25,1.0
2023,Q2,5,2023-05-05,2023-05-31,2.0
2023,Q2,6,2023-06-01,2023-06-29,1.0
2023,Q3,7,2023-07-10,2023-07-27,1.0
2023,Q3,8,2023-08-05,2023-08-21,0.0
2023,Q3,9,2023-09-07,2023-09-28,1.0
2023,Q4,10,2023-10-06,2023-10-31,2.0
2023,Q4,11,2023-11-07,2023-11-22,1.0
2023,Q4,12,2023-12-01,2023-12-28,1.0
2024,Q1,1,2024-01-06,2024-01-31,-1.0
2024,Q1,2,2024-02-05,2024-02-23,-2.0
2024,Q1,3,2024-03-07,2024-03-25,0.0
2024,Q2,4,2024-04-01,2024-04-25,3.0
2024,Q2,5,2024-05-07,2024-05-27,-1.0
2024,Q2,6,2024-06-03,2024-06-24,0.0
2024,Q3,7,2024-07-05,2024-07-31,0.0
2024,Q3,8,2024-08-05,2024-08-22,2.0
2024,Q3,9,2024-09-07,2024-09-23,1.0
2024,Q4,10,2024-10-02,2024-10-31,3.0
2024,Q4,11,2024-11-07,2024-11-26,0.0
2024,Q4,12,2024-12-06,2024-12-22,1.0
2025,Q1,1,2025-01-14,2025-01-14,0.0
2025,Q1,2,2025-02-07,2025-02-27,1.0
2025,Q1,3,2025-03-05,2025-03-28,0.0
