year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-04,2021-01-24,1.0
2021,Q1,2,2021-02-09,2021-02-25,1.0
2021,Q1,3,2021-03-14,2021-03-24,1.0
2021,Q2,4,2021-04-05,2021-04-22,2.0
2021,Q2,5,2021-05-17,2021-05-25,0.0
2021,Q2,6,2021-06-03,2021-06-30,3.0
2021,Q3,7,2021-07-14,2021-07-30,3.0
2021,Q3,8,2021-08-03,2021-08-27,3.0
2021,Q3,9,2021-09-03,2021-09-29,2.0
2021,Q4,10,2021-10-04,2021-10-28,4.0
2021,Q4,11,2021-11-07,2021-11-26,0.0
2021,Q4,12,2021-12-01,2021-12-22,2.0
2022,Q1,1,,,0.0
2022,Q1,2,2022-02-02,2022-02-23,1.0
2022,Q1,3,2022-03-04,2022-03-28,1.0
2022,Q2,4,2022-04-01,2022-04-28,1.0
2022,Q2,5,2022-05-03,2022-05-29,2.0
2022,Q2,6,2022-06-09,2022-06-09,0.0
2022,Q3,7,2022-07-21,2022-07-26,2.0
2022,Q3,8,2022-08-12,2022-08-30,0.0
2022,Q3,9,2022-09-01,2022-09-19,0.0
2022,Q4,10,2022-10-14,2022-10-24,3.0
2022,Q4,11,2022-11-02,2022-11-25,3.0
2022,Q4,12,2022-12-05,2022-12-09,1.0
2023,Q1,1,2023-01-06,2023-01-31,1.0
2023,Q1,2,2023-02-03,2023-02-28,0.0
2023,Q1,3,2023-03-02,2023-03-27,3.0
2023,Q2,4,2023-04-04,2023-04-28,3.0
2023,Q2,5,2023-05-02,2023-05-26,1.0
2023,Q2,6,2023-06-07,2023-06-18,1.0
2023,Q3,7,2023-07-04,2023-07-25,4.0
2023,Q3,8,2023-08-16,2023-08-24,1.0
2023,Q3,9,2023-09-06,2023-09-24,3.0
2023,Q4,10,2023-10-12,2023-10-25,0.0
2023,Q4,11,2023-11-07,2023-11-22,-2.0
2023,Q4,12,2023-12-01,2023-12-29,0.0
2024,Q1,1,2024-01-02,2024-01-26,3.0
2024,Q1,2,2024-02-07,2024-02-29,0.0
2024,Q1,3,2024-03-06,2024-03-31,4.0
2024,Q2,4,2024-04-01,2024-04-24,4.0
2024,Q2,5,2024-05-07,2024-05-24,2.0
2024,Q2,6,2024-06-12,2024-06-24,1.0
2024,Q3,7,2024-07-04,2024-07-24,2.0
2024,Q3,8,2024-08-05,2024-08-30,0.0
2024,Q3,9,2024-09-02,2024-09-24,0.0
2024,Q4,10,2024-10-07,2024-10-23,4.0
2024,Q4,11,2024-11-06,2024-11-25,5.0
2024,Q4,12,2024-12-02,2024-12-26,3.0
2025,Q1,1,2025-01-01,2025-01-27,3.0
2025,Q1,2,2025-02-04,2025-02-26,3.0
2025,Q1,3,2025-03-05,2025-03-30,1.0
