year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-04,2021-01-24,0.0
2021,Q1,2,2021-02-02,2021-02-24,0.0
2021,Q1,3,2021-03-01,2021-03-26,0.0
2021,Q2,4,2021-04-07,2021-04-30,1.0
2021,Q2,5,2021-05-03,2021-05-25,2.0
2021,Q2,6,2021-06-03,2021-06-24,0.0
2021,Q3,7,2021-07-04,2021-07-31,1.0
2021,Q3,8,2021-08-04,2021-08-26,-2.0
2021,Q3,9,2021-09-02,2021-09-29,1.0
2021,Q4,10,2021-10-03,2021-10-31,1.0
2021,Q4,11,2021-11-06,2021-11-26,0.0
2021,Q4,12,2021-12-02,2021-12-23,1.0
2022,Q1,1,2022-01-01,2022-01-24,0.0
2022,Q1,2,2022-02-04,2022-02-25,-1.0
2022,Q1,3,2022-03-04,2022-03-28,1.0
2022,Q2,4,2022-04-01,2022-04-28,1.0
2022,Q2,5,2022-05-02,2022-05-29,3.0
2022,Q2,6,2022-06-07,2022-06-23,3.0
2022,Q3,7,2022-07-04,2022-07-28,4.0
2022,Q3,8,2022-08-01,2022-08-24,2.0
2022,Q3,9,2022-09-02,2022-09-28,3.0
2022,Q4,10,2022-10-06,2022-10-27,2.0
2022,Q4,11,2022-11-02,2022-11-22,0.0
2022,Q4,12,2022-12-06,2022-12-25,2.0
2023,Q1,1,2023-01-07,2023-01-30,-1.0
2023,Q1,2,2023-02-03,2023-02-27,0.0
2023,Q1,3,2023-03-06,2023-03-22,2.0
2023,Q2,4,2023-04-03,2023-04-28,2.0
2023,Q2,5,2023-05-02,2023-05-25,3.0
2023,Q2,6,2023-06-07,2023-06-22,3.0
2023,Q3,7,2023-07-04,2023-07-25,4.0
2023,Q3,8,2023-08-07,2023-08-31,3.0
2023,Q3,9,2023-09-06,2023-09-26,0.0
2023,Q4,10,2023-10-10,2023-10-24,2.0
2023,Q4,11,2023-11-01,2023-11-28,2.0
2023,Q4,12,2023-12-04,2023-12-31,1.0
2024,Q1,1,2024-01-07,2024-01-22,2.0
2024,Q1,2,2024-02-06,2024-02-29,1.0
2024,Q1,3,2024-03-06,2024-03-27,2.0
2024,Q2,4,2024-04-01,2024-04-28,1.0
2024,Q2,5,2024-05-03,2024-05-24,1.0
2024,Q2,6,2024-06-03,2024-06-25,3.0
2024,Q3,7,2024-07-03,2024-07-22,3.0
2024,Q3,8,2024-08-01,2024-08-23,1.0
2024,Q3,9,2024-09-02,2024-09-30,1.0
2024,Q4,10,2024-10-01,2024-10-30,3.0
2024,Q4,11,2024-11-05,2024-11-26,0.0
2024,Q4,12,2024-12-03,2024-12-27,-1.0
2025,Q1,1,2025-01-05,2025-01-27,3.0
2025,Q1,2,2025-02-07,2025-02-25,1.0
2025,Q1,3,2025-03-06,2025-03-26,-1.0
