year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-01,2021-01-29,0.0
2021,Q1,2,2021-02-05,2021-02-23,2.0
2021,Q1,3,2021-03-04,2021-03-28,1.0
2021,Q2,4,2021-04-04,2021-04-23,2.0
2021,Q2,5,2021-05-02,2021-05-31,-1.0
2021,Q2,6,2021-06-06,2021-06-28,2.0
2021,Q3,7,2021-07-07,2021-07-22,-1.0
2021,Q3,8,2021-08-06,2021-08-25,-3.0
2021,Q3,9,2021-09-03,2021-09-22,1.0
2021,Q4,10,2021-10-04,2021-10-22,3.0
2021,Q4,11,2021-11-02,2021-11-28,3.0
2021,Q4,12,2021-12-07,2021-12-29,1.0
2022,Q1,1,2022-01-06,2022-01-23,-3.0
2022,Q1,2,2022-02-03,2022-02-23,1.0
2022,Q1,3,2022-03-07,2022-03-31,0.0
2022,Q2,4,2022-04-04,2022-04-24,-1.0
2022,Q2,5,2022-05-02,2022-05-27,3.0
2022,Q2,6,2022-06-05,2022-06-26,2.0
2022,Q3,7,2022-07-05,2022-07-31,2.0
2022,Q3,8,2022-08-04,2022-08-29,2.0
2022,Q3,9,2022-09-01,2022-09-26,-2.0
2022,Q4,10,2022-10-04,2022-10-27,1.0
2022,Q4,11,2022-11-03,2022-11-23,-1.0
2022,Q4,12,2022-12-07,2022-12-24,1.0
2023,Q1,1,2023-01-04,2023-01-26,-2.0
2023,Q1,2,2023-02-02,2023-02-22,2.0
2023,Q1,3,2023-03-03,2023-03-22,-3.0
2023,Q2,4,2023-04-04,2023-04-26,2.0
2023,Q2,5,2023-05-02,2023-05-29,-2.0
2023,Q2,6,2023-06-01,2023-06-28,-1.0
2023,Q3,7,2023-07-02,2023-07-25,1.0
2023,Q3,8,2023-08-03,2023-08-25,-1.0
2023,Q3,9,2023-09-05,2023-09-26,0.0
2023,Q4,10,2023-10-03,2023-10-22,-3.0
2023,Q4,11,2023-11-03,2023-11-23,-2.0
2023,Q4,12,2023-12-06,2023-12-24,-1.0
2024,Q1,1,2024-01-03,2024-01-24,-1.0
2024,Q1,2,2024-02-07,2024-02-22,-3.0
2024,Q1,3,2024-03-07,2024-03-27,-2.0
2024,Q2,4,2024-04-01,2024-04-23,0.0
2024,Q2,5,2024-05-02,2024-05-22,0.0
2024,Q2,6,2024-06-02,2024-06-27,1.0
2024,Q3,7,2024-07-05,2024-07-31,-2.0
2024,Q3,8,2024-08-02,2024-08-22,1.0
2024,Q3,9,2024-09-02,2024-09-23,0.0
2024,Q4,10,2024-10-04,2024-10-22,2.0
2024,Q4,11,2024-11-06,2024-11-26,0.0
2024,Q4,12,2024-12-01,2024-12-26,4.0
2025,Q1,1,2025-01-06,2025-01-31,3.0
2025,Q1,2,2025-02-03,2025-02-24,4.0
2025,Q1,3,2025-03-05,2025-03-31,1.0
