year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,2021-01-06,2021-01-27,0.0
2021,Q1,2,2021-02-03,2021-02-22,0.0
2021,Q1,3,2021-03-14,2021-03-29,0.0
2021,Q2,4,2021-04-06,2021-04-28,1.0
2021,Q2,5,2021-05-06,2021-05-20,1.0
2021,Q2,6,2021-06-07,2021-06-16,0.0
2021,Q3,7,2021-07-02,2021-07-26,-1.0
2021,Q3,8,2021-08-02,2021-08-20,0.0
2021,Q3,9,2021-09-02,2021-09-30,1.0
2021,Q4,10,2021-10-07,2021-10-18,2.0
2021,Q4,11,2021-11-07,2021-11-29,-2.0
2021,Q4,12,2021-12-02,2021-12-19,3.0
2022,Q1,1,2022-01-06,2022-01-28,1.0
2022,Q1,2,2022-02-02,2022-02-28,2.0
2022,Q1,3,2022-03-06,2022-03-25,2.0
2022,Q2,4,2022-04-12,2022-04-28,1.0
2022,Q2,5,2022-05-03,2022-05-22,0.0
2022,Q2,6,2022-06-06,2022-06-27,-1.0
2022,Q3,7,2022-07-16,2022-07-22,0.0
2022,Q3,8,2022-08-10,2022-08-24,0.0
2022,Q3,9,2022-09-02,2022-09-26,0.0
2022,Q4,10,2022-10-05,2022-10-25,-1.0
2022,Q4,11,2022-11-07,2022-11-22,1.0
2022,Q4,12,2022-12-08,2022-12-28,2.0
2023,Q1,1,2023-01-02,2023-01-18,2.0
2023,Q1,2,2023-02-06,2023-02-21,1.0
2023,Q1,3,2023-03-02,2023-03-23,2.0
2023,Q2,4,2023-04-07,2023-04-28,2.0
2023,Q2,5,2023-05-01,2023-05-24,0.0
2023,Q2,6,2023-06-06,2023-06-29,1.0
2023,Q3,7,2023-07-04,2023-07-17,2.0
2023,Q3,8,2023-08-16,2023-08-16,1.0
2023,Q3,9,2023-09-07,2023-09-22,0.0
2023,Q4,10,2023-10-05,2023-10-23,1.0
2023,Q4,11,2023-11-01,2023-11-16,1.0
2023,Q4,12,2023-12-02,2023-12-26,3.0
2024,Q1,1,2024-01-02,2024-01-11,0.0
2024,Q1,2,2024-02-08,2024-02-08,1.0
2024,Q1,3,2024-03-12,2024-03-15,1.0
2024,Q2,4,2024-04-08,2024-04-26,2.0
2024,Q2,5,2024-05-03,2024-05-28,0.0
2024,Q2,6,2024-06-03,2024-06-23,2.0
2024,Q3,7,2024-07-12,2024-07-26,0.0
2024,Q3,8,2024-08-07,2024-08-29,-4.0
2024,Q3,9,2024-09-01,2024-09-30,0.0
2024,Q4,10,2024-10-02,2024-10-22,-2.0
2024,Q4,11,2024-11-06,2024-11-22,3.0
2024,Q4,12,2024-12-03,2024-12-23,-2.0
2025,Q1,1,2025-01-02,2025-01-31,3.0
2025,Q1,2,2025-02-06,2025-02-27,0.0
2025,Q1,3,2025-03-05,2025-03-26,1.0
