year,quarter,month,start_date,end_date,score_sum
2021,Q1,1,,,0.0
2021,Q1,2,,,0.0
2021,Q1,3,2021-03-02,2021-03-29,0.0
2021,Q2,4,2021-04-19,2021-04-19,-1.0
2021,Q2,5,,,0.0
2021,Q2,6,,,0.0
2021,Q3,7,,,0.0
2021,Q3,8,,,0.0
2021,Q3,9,,,0.0
2021,Q4,10,2021-10-15,2021-10-17,0.0
2021,Q4,11,,,0.0
2021,Q4,12,2021-12-10,2021-12-10,0.0
2022,Q1,1,,,0.0
2022,Q1,2,2022-02-28,2022-02-28,0.0
2022,Q1,3,,,0.0
2022,Q2,4,,,0.0
2022,Q2,5,2022-05-09,2022-05-09,0.0
2022,Q2,6,,,0.0
2022,Q3,7,,,0.0
2022,Q3,8,,,0.0
2022,Q3,9,,,0.0
2022,Q4,10,,,0.0
2022,Q4,11,2022-11-11,2022-11-11,-1.0
2022,Q4,12,,,0.0
2023,Q1,1,,,0.0
2023,Q1,2,2023-02-15,2023-02-28,0.0
2023,Q1,3,2023-03-02,2023-03-13,0.0
2023,Q2,4,2023-04-20,2023-04-27,2.0
2023,Q2,5,2023-05-05,2023-05-05,0.0
2023,Q2,6,2023-06-17,2023-06-17,-1.0
2023,Q3,7,2023-07-08,2023-07-30,0.0
2023,Q3,8,,,0.0
2023,Q3,9,2023-09-07,2023-09-25,-1.0
2023,Q4,10,2023-10-12,2023-10-26,3.0
2023,Q4,11,2023-11-11,2023-11-11,0.0
2023,Q4,12,2023-12-08,2023-12-28,0.0
2024,Q1,1,2024-01-14,2024-01-31,1.0
2024,Q1,2,2024-02-05,2024-02-29,2.0
2024,Q1,3,2024-03-16,2024-03-16,0.0
2024,Q2,4,,,0.0
2024,Q2,5,2024-05-07,2024-05-30,1.0
2024,Q2,6,2024-06-13,2024-06-24,2.0
2024,Q3,7,2024-07-15,2024-07-24,1.0
2024,Q3,8,2024-08-07,2024-08-26,1.0
2024,Q3,9,2024-09-04,2024-09-25,3.0
2024,Q4,10,2024-10-29,2024-10-29,0.0
2024,Q4,11,2024-11-04,2024-11-19,2.0
2024,Q4,12,2024-12-01,2024-12-18,0.0
2025,Q1,1,2025-01-02,2025-01-23,1.0
2025,Q1,2,2025-02-03,2025-02-28,2.0
2025,Q1,3,2025-03-06,2025-03-30,-1.0
