,name,year,quarter,sector,Relative Return,국제유가 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,부채총계 변화율,비유동자산 변화율,소비자물가지수 변화율,Label,Code
35,하이트진로,2016,Q1,생활소비재,-0.09220073570701287,-0.22660852268380383,-0.14283658413234124,-0.6738069775656848,-0.006236510410104978,-0.002774170367094375,-0.03306613361493349,-0.21978854970262243,000080
35,CJ,2016,Q1,생활소비재,0.1658840593286085,-0.22660852268380383,-0.0007255670168015982,-0.12975343627060276,0.09821653249964535,-0.0007438857420923872,-0.03306613361493349,-0.18960116914057856,001040
35,대상,2016,Q1,생활소비재,0.0024987178448997033,-0.22660852268380383,0.017421025547783797,-0.7100099332217044,0.18970240165936447,-0.0015953868439720909,-0.03306613361493349,0.07967801911387586,001680
35,오리온,2016,Q1,생활소비재,0.10012761001946362,-0.22660852268380383,-0.0486670575465713,-0.8567831898883268,0.07874454349306403,0.0069245978447773915,-0.03306613361493349,-0.15338178941590255,001800
35,아모레G,2016,Q1,생활소비재,0.17942190353383847,-0.22660852268380383,0.01672717769163734,0.13555520696775814,0.6637741295147472,-0.0031676388954510193,-0.03306613361493349,-0.17744728494812168,002790
35,남양유업,2016,Q1,생활소비재,-0.06863495201839015,-0.22660852268380383,0.0030094677168606143,-0.8603411373185472,0.02239778425807759,-0.048652696455431466,-0.03306613361493349,-0.09472363552423035,003920
35,농심,2016,Q1,생활소비재,-0.005639651422808933,-0.22660852268380383,0.07763551765089205,0.042731560974180294,-0.02134622907680961,0.01146604662845796,-0.03306613361493349,-0.1780270453076065,004370
35,빙그레,2016,Q1,생활소비재,-0.009581848014798968,-0.22660852268380383,-0.8195465855092996,-0.9041210160777806,0.1713156966884526,-0.009424675253938641,-0.03306613361493349,-0.11018559045260598,005180
35,롯데칠성,2016,Q1,생활소비재,0.1148799477440989,-0.22660852268380383,0.008610675607727769,-0.6702925081814122,0.002701135863399262,0.01619755471999751,-0.03306613361493349,-0.24769800863879976,005300
35,현대그린푸드,2016,Q1,생활소비재,0.015734933866686868,-0.22660852268380383,0.03013673746034895,-0.606665168446219,0.04533967717449916,0.037447624114595346,-0.03306613361493349,-0.14465697385225118,005440
35,삼립식품,2016,Q1,생활소비재,0.09709641899432499,-0.22660852268380383,-0.013710955167176131,-0.8340990599049598,-0.01587015997345409,-0.008244666491319608,-0.03306613361493349,-0.2779688257670116,005610
35,크라운제과,2016,Q1,생활소비재,-0.06421746058080974,-0.22660852268380383,0.007345332191925902,-0.8014394134737872,-0.0026227151565877405,-0.0007563018468796923,-0.03306613361493349,0.0,005740
35,GS리테일,2016,Q1,생활소비재,0.22752201212244957,-0.22660852268380383,-0.024681046214165114,-0.8648866902065884,0.07381166975929254,0.01692235033920375,-0.03306613361493349,-0.1831230244588442,007070
35,오뚜기,2016,Q1,생활소비재,-0.037608809036820734,-0.22660852268380383,0.024285956279546328,-0.6265725151837966,0.06826604046927032,0.0028205161537535606,-0.03306613361493349,-0.13600658228746648,007310
35,한국전력,2016,Q1,생활소비재,0.038853835943549186,-0.22660852268380383,-0.027924082975037123,-0.9091235624823888,0.009493385792367581,0.01457280145140416,-0.03306613361493349,-0.07216715727288248,015760
35,KT&G,2016,Q1,생활소비재,0.1917513336894438,-0.22660852268380383,-0.732161079414392,-0.7425290172537092,0.15131524555074738,0.0019532149857295344,-0.03306613361493349,-0.14872587673188048,033780
35,무학,2016,Q1,생활소비재,-0.07640884518031038,-0.22660852268380383,-0.0009394126337783915,-0.7975188329730485,-0.07206168324141538,-0.03505433045847739,-0.03306613361493349,-0.29197951385410953,033920
35,한국가스공사,2016,Q1,생활소비재,0.12351842649956979,-0.22660852268380383,0.09867394930916018,-88.01437173624406,-0.030057306389621674,-0.007544715840005822,-0.03306613361493349,-0.004459828013295114,036460
35,팜스코,2016,Q1,생활소비재,0.19046076605393145,-0.22660852268380383,0.07390775549282314,-0.2695854580695479,0.008038512998783442,0.037699482182102395,-0.03306613361493349,0.013157518051792848,036580
