종목코드,종목명,작성기준일,작성시간,보고자,특별관계자수,주식수,주식비율,증감주식수,증감주식비율,변동방법,변동사유,변경사유
00131780,SK네트웍스,2023.02.01,17:42,SK,11,109629783,44.17,0,0,,,보유주식 일부 담보계약의 변경
01175499,위니아에이드,2023.02.01,17:41,위니아,3,9937340,64.56,0,0,,,주식 등에 관한 주요계약 체결
01505186,하이딥,2023.02.01,17:36,"WI-HDINVESTMENT,LLC",0,6084431,4.43,-2983237,-2.17,장내매도,장내매도,
00106395,금호전기,2023.02.01,17:26,신주홀딩스,8,20020194,52.75,280205,0.35,전환사채 전환가액조정,전환사채 전환가액조정으로 인한 보유주식 및 비율증감  ,
01160363,에코프로비엠,2023.02.01,17:10,에코프로,16,50527760,51.66,0,0,,,주요계약 체결 및 변경
00111421,휴니드테크놀러지스,2023.02.01,17:09,김유진,3,3223003,22.83,0,0,,,보유주식등에 관한 계약 변경
00160588,한화,2023.02.01,17:07,김승연,10,32687768,43.61,0,0,,,주식담보계약 체결 및 변경 
00527491,하이드로리튬,2023.02.01,17:05,리튬플러스,18,22184532,59.94,0,0, 특별관계자 주식담보계약 연장,, 특별관계자 주식담보계약 연장에 따른 변경보고
00362159,웰크론,2023.02.01,17:03,이영규,11,5230259,18.54,0,0,,,보유주식 계약 변경 및 해지
00101044,에이프로젠바이오로직스,2023.02.01,16:59,에이프로젠,1,327459224,55.91,-13888890,-2.37,지분변동,주식 매도에 따른 변동,
01144028,씨티케이,2023.02.01,16:59,정인용,5,9557210,49.41,0,0,증여취소 및 재증여,기존 증여계약 합의해제 및 재증여에 따른 변동 내역 보고,
01267602,제이시스메디칼,2023.02.01,16:53,강동환,9,24192846,32.84,0,0,,,특수관계인의 주식담보대출 실행
00763358,스마트솔루션즈,2023.02.01,16:43,리얼픽,8,8126616,20.28,8126616,20.28,,,
00147860,에스엠벡셀,2023.02.01,16:31,에스엠하이플러스,1,95537208,85.87,126000,0.11, 장내매수, 보고자 본인 에스엠하이플러스(주)의 장내매수, 
01070149,올리패스,2023.02.01,16:26,정신,38,9392209,29.75,0,-0.25,,,신탁ㆍ담보계약 등 주요계약의 변경
00442455,코스나인,2023.02.01,16:24,아이큐어,1,7200219,11.59,-2760000,-8.44,시간외매도,단순 처분,
00145738,이화전기,2023.02.01,16:22,이트론,2,53460802,34.87,1813002,0.78,"전환가액 조정, 전환사채의 권리행사에 따른 보유형태 변동","전환가액 조정, 전환사채의 권리행사에 따른 보유형태 변동",
00299844,미래반도체,2023.02.01,16:21,이정,1,10730000,74.32,10730000,74.32,코스닥시장 상장,코스닥시장 상장으로 인한 신규보고,
00288495,홈센타홀딩스,2023.02.01,16:18,박병준,12,69978807,54.81,0,0,,,주식담보대출 연장에 따른 변경
01201970,클리노믹스,2023.02.01,16:14,박종화,8,3280905,23.43,0,-0.66,최대주주의 특별관계자 주식 증여에 따른 보유주식수 변동,최대주주의 특별관계자 주식 증여에 따른 보유주식수 변동,
00113058,한화생명,2023.02.01,16:12,한화,4,391251934,45.05,0,0,,,주식담보계약 해지
00233653,한국토지신탁,2023.02.01,16:07,엠케이인베스트먼트,1,89544000,35.46,0,0,,,보고자 및 특별관계자의 보유주식등에 관한 계약 변경
00983271,엔에이치엔,2023.02.01,16:06,이준호,36,19140971,53.14,0,0.0,,,주식담보대출 금리 변경
01263022,BGF리테일,2023.02.01,15:57,BGF,18,9338193,54.03,0,0,,,특별관계자 주요계약 변경
01264872,이노뎁,2023.02.01,15:51,이성진,6,2733256,37.24,0,0,,,특수관계인 보유주식등에 대한 계약 내역 변경
00444329,위메이드,2023.02.01,15:43,박관호,2,16418646,48.58,0,0,,," 보유주식등에 대한 담보 계약 신규 체결에 따른 변경
 기존 보유주식등의 대한 담보계약 내용 변경(계약 주식등의 수 감소)
 보유주식등에 대한 담보 계약 기간 연장으로 인한 변경"
