접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160329000310,Y,00104388,국도화학,소액주주,"4,706",-,99.75%,"2,525,618",-,43.47%,2015-12-31,2015,Q4
20170329000302,Y,00104388,국도화학,소액주주,"4,155",-,99.74%,"2,416,773",-,41.59%,2016-12-31,2016,Q4
20180330000113,Y,00104388,국도화학,소액주주,"3,173",-,99.59%,"1,906,094",-,32.80%,2017-12-31,2017,Q4
20190329001968,Y,00104388,국도화학,소액주주,"3,752",-,99.63%,"1,912,199",-,32.91%,2018-12-31,2018,Q4
20200330001259,Y,00104388,국도화학,소액주주,"4,175",-,99.69%,"1,944,597",-,33.47%,2019-12-31,2019,Q4
20210312000286,Y,00104388,국도화학,소액주주,"6,413","6,424",99.83%,"2,002,363","5,810,616",34.46%,2020-12-31,2020,Q4
20220310001195,Y,00104388,국도화학,소액주주,"15,852","15,864",99.92%,"3,778,326","9,010,616",41.93%,2021-12-31,2021,Q4
20230302000553,Y,00104388,국도화학,소액주주,"17,150","17,168",99.90%,"3,413,461","9,010,616",37.88%,2022-12-31,2022,Q4
20240307000864,Y,00104388,국도화학,소액주주,"14,726","14,745",99.87%,"3,038,345","9,010,616",33.72%,2023-12-31,2023,Q4
20250321001221,Y,00104388,국도화학,소액주주,"13,073","13,109",99.73%,"2,313,835","9,010,616",25.68%,2024-12-31,2024,Q4
