접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160516001867,Y,00164779,SK하이닉스,소액주주,"252,544",-,99.99%,"485,690,285",-,66.71%,2015-12-31,2015,Q4
20170331004537,Y,00164779,SK하이닉스,소액주주,"169,514",-,99.95%,"460,483,393",-,63.25%,2016-12-31,2016,Q4
20180615000111,Y,00164779,SK하이닉스,소액주주,"312,929",-,99.99%,"458,742,455",-,63.01%,2017-12-31,2017,Q4
20190404002329,Y,00164779,SK하이닉스,소액주주,"309,676",-,99.99%,"422,650,910",-,58.05%,2018-12-31,2018,Q4
20200330004441,Y,00164779,SK하이닉스,소액주주,"181,783",-,99.99%,"441,033,663",-,60.58%,2019-12-31,2019,Q4
20210330000776,Y,00164779,SK하이닉스,소액주주,"431,633","431,640",99.99%,"453,737,437","728,002,365",62.32%,2020-12-31,2020,Q4
20220322000590,Y,00164779,SK하이닉스,소액주주,"876,606","876,611",99.99%,"485,646,772","728,002,365",66.70%,2021-12-31,2021,Q4
20230321001209,Y,00164779,SK하이닉스,소액주주,"1,007,087","1,007,093",99.99%,"471,759,790","728,002,365",64.80%,2022-12-31,2022,Q4
20240319000684,Y,00164779,SK하이닉스,소액주주,"587,776","587,785",99.99%,"454,398,558","728,002,365",62.41%,2023-12-31,2023,Q4
20250319000665,Y,00164779,SK하이닉스,소액주주,"780,867","780,876",99.99%,"456,814,819","728,002,365",62.74%,2024-12-31,2024,Q4
