접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330000651,Y,00134510,SJG세종,소액주주,"3,640",-,99.73%,"5,729,734",-,28.57%,2015-12-31,2015,Q4
20170331002380,Y,00134510,SJG세종,소액주주,"3,345",-,99.67%,"6,106,535",-,30.45%,2016-12-31,2016,Q4
20180330003203,Y,00134510,SJG세종,소액주주,"4,232",-,99.81%,"6,725,682",-,33.54%,2017-12-31,2017,Q4
20190329003628,Y,00134510,SJG세종,소액주주,"5,792",-,99.83%,"6,916,573",-,33.82%,2018-12-31,2018,Q4
20200330003652,Y,00134510,SJG세종,소액주주,"8,247",-,99.90%,"10,199,400",-,49.87%,2019-12-31,2019,Q4
20210319001017,Y,00134510,SJG세종,소액주주,"27,099","27,105",99.98%,"14,163,906","26,920,714",52.61%,2020-12-31,2020,Q4
20220324000888,Y,00134510,SJG세종,소액주주,"31,569","31,575",99.98%,"14,346,678","27,052,299",53.03%,2021-12-31,2021,Q4
20230726000502,Y,00134510,SJG세종,소액주주,"29,063","29,066",99.98%,"15,044,295","27,052,299",55.61%,2022-12-31,2022,Q4
20240318000878,Y,00134510,SJG세종,소액주주,"24,497","24,503",99.98%,"14,764,018","27,052,299",54.58%,2023-12-31,2023,Q4
20250317000672,Y,00134510,SJG세종,소액주주,"21,016","21,022",99.98%,"14,749,954","27,052,299",54.52%,2024-12-31,2024,Q4
