,name,sector,year,quarter,Relative Return,이익잉여금변화율,비유동부채변화율,영업이익변화율,매출액변화율,비유동자산변화율,금리변화율,GDP변화율,실업률변화율,환율변화율,소비자물가지수변화율,특정 증권 등 소유 수변화율,전체 주식 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,증자주식수변화율,Label,Code
4,Kyungbang,유통,2023,Q3,-0.11759751036169562,-0.006195354171149248,0.38296014435555825,-3.2853386861301273,0.019108901219487606,0.005247776811109217,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,0.0,-0.0015350892365371127,0.0,-0.0015350892365368907,-0.0015350892365371127,-0.10705879904123497,000050
4,LG_International,유통,2023,Q3,0.18677654695353818,-0.020397960725368147,0.007746569885857202,-2.3261157045951983,-0.021704356271748937,-0.02742155251975409,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.00156929764955005,-0.0015692976495498279,-0.0015692976495498279,-0.0015692976495496058,0.0,-0.17041264271183396,001120
4,SK_Networks,유통,2023,Q3,0.08570103251499477,-0.01619955965193376,0.05343510718929578,0.5089487910000731,-0.07479198170700396,-0.020353585932116003,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-10.374252053412672,0.0,-11.178352371346813,0.0014800918394209939,0.0,0.2242885081025989,001740
4,Shinsegae,유통,2023,Q3,-0.2211650484880573,-0.009849624163690507,-0.011880218885680138,-0.0990042260731705,0.030185410045624916,-0.008839574821024376,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,0.5077228433229704,-0.0015680615452768887,1.0811507233093238,-0.0015680615452768887,-0.0015680615452771107,0.10720036628197888,004170
4,GS_Retail,유통,2023,Q3,-0.23505683077570483,-0.02509165483471998,0.07722410995713103,-0.17123125898422997,-0.047659965535571835,-0.008357404476413643,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,0.9997470304723971,-0.0015650216898732694,0.9994933675996198,-0.0015650216898732694,-0.0015650216898732694,0.06813972305217961,007070
4,Hotel_Shilla,유통,2023,Q3,-0.14508858859257898,0.015137047319490948,0.005330253138065899,0.9435971818112571,-0.2654437300669039,0.030756703101283867,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,0.019651317298794546,-0.0015646893786025462,327.87081459270365,-0.0015646893786025462,0.0,0.18441708327971776,008770
4,Hanssem,유통,2023,Q3,-0.1807020855250943,0.04925616494932861,-0.025925082190335846,3.1789663802920747,0.07107769468854108,0.019232055787479663,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,0.8472922973427515,-0.0015376817469239246,1.9765432098765432,-0.0015376817469239246,0.0,0.32521061653900446,009240
4,Lotte_Shopping,유통,2023,Q3,-0.2101357030646802,-0.0117893054023126,0.029931137287862786,-2.324610059307754,-0.03195493269005856,0.005538083751811973,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.6351439074815817,-0.0008342274321897492,-0.702114552462968,-0.01117871623718436,-0.0039312914399090015,0.07906667473163481,023530
5,Samsung_C&T,유통,2023,Q3,-0.06880744596871724,-0.029278073705429897,0.06820939932247128,0.12391910611640511,0.022814870282428013,0.021763062159553592,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.6779721528025706,0.0034721314555591354,0.12385503783353247,0.00400348166186848,0.007547613693782207,0.05587536876066614,028260
4,Daewoo_International,유통,2023,Q3,0.7059462661232573,-0.06919053709302525,-0.02701493599865823,0.1484791682433353,0.11638900948920394,-0.02915044343576012,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.001290980330751923,-0.001290980330752145,-0.001290980330752145,-0.001290980330752145,-0.001290980330751923,0.8181537464684357,047050
4,Hyundai_Department_Store,유통,2023,Q3,-0.1444223780296647,-0.012093845690899219,0.008845383673650176,-0.19461501093489653,0.015540031517298436,0.004885242628880793,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.43127316595252063,-0.0015756016538617246,-2.0249014362734545,-0.0015756016538617246,-0.0015756016538617246,0.324670973533608,069960
4,Youngone_Corporation,유통,2023,Q3,0.3672223394475234,-0.06576769932348725,0.15953674185430766,0.1556742628456128,0.13869989817394524,0.03506160972085404,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-0.05556219835888432,-0.001537330136371029,-6.811496568658314,-0.001537330136370807,-0.001537330136370807,-0.20234052071926553,111770
4,Emart,유통,2023,Q3,-0.3188589853360584,-0.021104506459484806,-0.10484667329970554,5.270005743531652,-0.13264522681764013,0.007117239914996243,-0.11207897793263655,-0.007533279773421997,-0.03896103896103886,0.0021566395604083466,0.028955398190522508,-1.1109372140740925,-0.0021589629907525776,-1.1929384972541066,-0.0021589629907525776,-0.0021589629907525776,-0.04944012451021964,139480
