,name,sector,year,quarter,Relative Return,이익잉여금 변화율,비유동부채 변화율,금리 변화율,GDP 변화율,특정 증권 등 소유 수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 수 변화율,자기주식수 변화율,전체 주주 수 변화율,Label,Code
3,Kyungbang,유통,2023,Q4,-0.10705879904123497,0.02913300337571556,-0.015439718535513958,-0.00757180156657955,-0.004550077278224318,0.0,-0.7694213139666775,0.0,-0.951743652137121,-0.6668139165198552,-0.06844304965656839,000050
3,LG_International,유통,2023,Q4,-0.17041264271183396,0.04756283664886085,0.029740480112622425,-0.00757180156657955,-0.004550077278224318,-0.05890371004998718,-1.3239790734015586,-0.0589037100499874,-1.6215126963726108,-1.8088248534245932,-0.06896005560839094,001120
3,SK_Networks,유통,2023,Q4,0.2242885081025989,-0.014278471648720314,0.0049895986759190825,-0.00757180156657955,-0.004550077278224318,-0.02575537459555899,0.0,0.8292427344809862,-0.8560851310184818,0.0,-0.15292925149135886,001740
3,Shinsegae,유통,2023,Q4,0.10720036628197888,-0.008179534168660352,0.07589329068721351,-0.00757180156657955,-0.004550077278224318,-1.2067873787251684,-0.9390403482679353,14.218007458710709,-6.80282765363085,-0.9963887067273358,-0.17775312659313958,004170
3,GS_Retail,유통,2023,Q4,0.06813972305217961,0.06467467324866583,0.00974976050994536,-0.00757180156657955,-0.004550077278224318,-517.3203943973392,-1.1072416533092153,-257.8421648354512,-0.45146712306785175,-0.9929294487878588,-0.12882320206000414,007070
3,Hotel_Shilla,유통,2023,Q4,0.18441708327971776,0.16639227193101735,-0.027968384976675642,-0.00757180156657955,-0.004550077278224318,-0.3094553207854396,-0.6398248112172829,0.546044489223988,-0.15844734339165867,-0.45871380287000374,-0.3236103279024685,008770
3,Hanssem,유통,2023,Q4,0.32521061653900446,0.13446249488645978,0.021920546019481568,-0.00757180156657955,-0.004550077278224318,1.0,-1.5472326444010158,0.9165613147914032,-0.5010993863058557,-1.1498681297805202,-0.1610864599264729,009240
3,Lotte_Shopping,유통,2023,Q4,0.07906667473163481,0.0022129980389659076,0.11889961465726584,-0.00757180156657955,-0.004550077278224318,0.6407805655117482,-0.6233428587470933,-0.16990920881971472,0.9254700842657329,-0.5005808306988153,-0.050345986311855766,023530
4,Samsung_C&T,유통,2023,Q4,0.05587536876066614,-0.031362687909359366,-0.16503624253231708,-0.00757180156657955,-0.004550077278224318,0.1674468085106383,-0.12578560106565417,-0.8579545454545454,0.0966763011498224,0.014940889949124903,0.10629442110439315,028260
3,Daewoo_International,유통,2023,Q4,0.8181537464684357,-0.014169729816216892,0.1691960486890901,-0.00757180156657955,-0.004550077278224318,-0.05837397385623344,-1.5495749796424985,-0.05837397385623322,-7.1971625744793055,-2.9807019492222055,-0.22831208800677102,047050
3,Hyundai_Department_Store,유통,2023,Q4,0.324670973533608,0.048588843510825264,-0.1033532275500979,-0.00757180156657955,-0.004550077278224318,-0.011096472344825914,-0.1449595872568561,1.0192219534392553,-0.2571005411158358,-0.0506827410252475,-0.27552953389776147,069960
3,Youngone_Corporation,유통,2023,Q4,-0.20234052071926553,-0.0959369047709826,-0.041371061753078475,-0.00757180156657955,-0.004550077278224318,-0.013345421823684811,-0.12762687370004633,0.7464657048440397,-0.06470291391220728,-0.22871319349079422,-0.1556931248126713,111770
3,Emart,유통,2023,Q4,-0.04944012451021964,0.0011803241757750715,0.0019409226501784227,-0.00757180156657955,-0.004550077278224318,0.49809962081791403,-0.1946613837213882,0.5168673496771596,-1.0878465276077955,-0.2926280104468413,-0.016943341180203644,139480
