,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,매출액변화율,Relative Return,특정 증권 등 소유 수변화율,전체 주식 수변화율,자기주식수변화율,1인평균급여변화율,특정 증권 등 소유 비율변화율,전체 주주 수변화율,Label,Code
21,Kyungbang,유통,2019,Q2,-0.008393017649772627,0.1340157460873409,0.08274588716412368,-0.11497388301888456,0.0,-0.027143553234960205,-0.030255734173823434,-0.004041810983822947,0.0,-0.025998615849080586,0.03792202610225473,000050
21,LG_International,유통,2019,Q2,-0.09321860689664674,1.3003114475308966,0.042045808787507744,-0.004254998085924944,-0.03473730252592544,-0.07977555199050856,-0.27520156835341325,-0.03387624137037637,-0.03473863965232815,-0.05530836369074188,0.10885862286752132,001120
21,SK_Networks,유통,2019,Q2,-0.008438154870332504,-1.029346716570262,-0.019544801424949076,0.10033251011932395,0.006365632105391095,0.0,0.03931825231830999,-0.015362857792565299,0.006230621054226004,0.0,-0.16036780288064356,001740
21,Shinsegae,유통,2019,Q2,-0.004784134472840762,0.3878085964474761,0.02007641892820977,0.26082200770136826,-0.08771830736503983,-0.048379583158717265,-0.18161853457435329,0.011660355369981001,-0.08772783950678753,-0.052578754657320426,-0.08736588033189321,004170
21,GS_Retail,유통,2019,Q2,-0.0250063237801621,-6.50696830994386,-0.10617645777364171,-0.06864148673299991,-0.007079192881050522,-0.0031377647664974084,-0.009874940632244922,-0.011031234483775298,-0.007079634516711453,-0.005099439892668922,0.013548091864827375,007070
21,Hotel_Shilla,유통,2019,Q2,-0.0801693187270689,-0.03944321067986101,-0.02330907892029721,0.17794162385011067,0.004475367219844206,0.002205943972372837,-0.01988331705820623,-0.026224557208949673,0.004482682892288481,-0.007660268876962029,0.024321192334667438,008770
21,Hanssem,유통,2019,Q2,-0.015014342176861373,0.42468945350671594,0.06941329462564405,0.30014239605088283,-0.05920956323766702,0.03230182836520279,0.014735857374063799,0.013853746918032095,-0.05926078125863654,0.0189980529389826,-0.20344139595423663,009240
21,Lotte_Shopping,유통,2019,Q2,0.004248746898174338,1.083694925432293,0.03243624734470474,-0.2082500389372968,0.01082752496447903,0.004052340386022202,0.015423907635274126,0.0032217870793773695,0.0,0.0036167924992502876,-0.09250608713160387,023530
22,Samsung_C&T,유통,2019,Q2,-0.03532188452415319,-7.989603463840419,-0.0837146127105628,-0.03563959447044414,-0.027927283332670694,-0.03650160465417618,0.03753798217540749,0.003065066404035144,-0.027901489986705386,-0.03120071611142028,-0.10649888110474505,028260
21,Daewoo_International,유통,2019,Q2,-0.06470031554280586,-0.12503757226906442,-0.059058903292876774,-0.06919462052370276,0.05259830339229665,-0.00420297863326069,-0.13672808778514178,0.02281904931350842,0.0,-0.00964856831108718,0.028408225560189345,047050
21,Hyundai_Department_Store,유통,2019,Q2,-0.01215567823724828,0.27895246218993364,0.0077170819400307344,0.06739903321902446,-0.014452212129101971,-0.010772119589911977,-0.011372316707288999,-0.0096704319415577,-0.014452262614853328,-0.010231161477698647,-0.1779195580561611,069960
21,Youngone_Corporation,유통,2019,Q2,-0.0731604120835978,-0.563943704837826,-0.45527627457581943,-0.19421455932969456,-0.054498278632608255,0.016840918812454975,0.07542852248965248,-0.006021854784627578,-0.054487829909732444,0.007000817210631061,0.14568816259339235,111770
21,Emart,유통,2019,Q2,0.006083153706219813,1.066916867736924,0.07127583648750346,-0.10480265889417206,0.01597018522747129,0.0029989621939781053,0.0045461909844899395,-0.0007524593333925189,0.0,0.0067770433563939525,-0.1851372363457292,139480
