,name,sector,year,quarter,Relative Return,영업이익변화율,비유동자산변화율,비유동부채변화율,자본총계변화율,매출액변화율,Label,Code
27,CJ_Logistics,Trading_&_Logistics,2017,Q4,-0.1112375537190082,0.2752392838065062,-0.0495674409000626,0.0059897860768090005,0.0027923349158969213,-0.007952262938571764,-0.15446884943846872,000120
27,Hankook_Tire_Worldwide,Automotive_&_Parts,2017,Q4,-0.014347105022830991,0.5902324205676366,-0.1730526829917174,0.12000700719572088,-0.004005252339502885,0.041411184780177246,-0.13370780017532277,000240
28,Kia_Corp,Automotive_&_Parts,2017,Q4,-0.18026373718791058,1.5119067884421813,-0.0009893827140705636,-0.20295803633614184,0.027239060818046723,0.09677976547105482,0.04272115690853953,000270
27,Hyundai_E&C,Construction_&_Real_Estate,2017,Q4,-0.18105424542336637,0.253185432857401,0.022129381649396596,0.029811040101401454,0.015110360074354068,0.00951180080072589,-0.06417778249022668,000720
27,SK_Networks,Consumer_Services,2017,Q4,0.13602517197452235,-1505745.4705142789,-929650.0880939381,-988425.4845359089,-981287.2671456479,-1269899.733075499,-0.08455411857717375,001740
27,Nexen_Tire,Automotive_&_Parts,2017,Q4,-0.01955463670411979,0.5315488730222814,0.004630975549972938,0.18543237591649853,-0.026509431366803282,0.14191653359725642,-0.11339955954649072,002350
27,Korean_Air,Automotive_&_Parts,2017,Q4,-0.2171983283582089,0.39066892261128916,-0.004855742463422352,0.02762126717363944,-0.2788665558471901,0.035603533845815605,0.08125208716292796,003490
27,SsangYong_Motor,Automotive_&_Parts,2017,Q4,-0.2547674856843467,-0.4144081006420568,-0.02475443249257192,0.027286847451600593,0.01597084839703422,-0.002647168154669366,-0.008757764568513836,003620
27,SEBANG_Global_Battery,Automotive_&_Parts,2017,Q4,-0.11620452697616054,0.19690219143845467,-0.024522581938823507,0.22081128497126212,-0.023037599839371925,-0.08269396038122823,0.002009912765791832,004490
27,Hyundai_Motor,Automotive_&_Parts,2017,Q4,-0.06253718611987376,0.977489965776785,-0.001333767925536966,0.027441939299205798,0.007583249996618635,-0.007823851811280758,0.0327402982812494,005380
27,Dong-A_Tire,Automotive_&_Parts,2017,Q4,-0.1222930768881832,42.500545522562675,-0.07265798610698604,-1.5724973845957115,-0.10332594247189819,2.592064842116436,-0.1848474101876963,007340
27,Seoyon,Automotive_&_Parts,2017,Q4,-0.319970976744186,1.872989939462629,-0.010605970235488593,-0.08393026496500644,-0.0026735799308310604,-0.23346018009434766,-0.021490650760358828,007860
27,Seohung,Automotive_&_Parts,2017,Q4,-0.0806914509803921,0.5095154868551675,-0.0019996954984982107,0.11660173479994163,0.028759925773343742,0.1932691609108801,-0.028755980606333834,008490
27,Hotel_Shilla,Consumer_Services,2017,Q4,0.00010991304347831958,0.2847419397783292,-0.09625079608187481,-0.011072685892963507,0.027814823907100106,0.06723120297482488,0.4555832809350002,008770
27,Motonic,Automotive_&_Parts,2017,Q4,-0.09617614953271021,0.6277890256431258,0.02210342761065054,0.0499999724463116,-0.0070386260012580415,0.06276109836753574,-0.08144503329538652,009680
27,Hwashin,Automotive_&_Parts,2017,Q4,-0.2550546542056074,-0.7611012680917912,-0.08143443221421243,0.34288544087266304,0.037779051607593095,-0.05810234364982336,-0.12699310662123764,010690
27,Hyundai_Merchant_Marine,Transportation,2017,Q4,-0.07971888407449633,-2.0232533304856237,0.07157615498461856,0.042915305849370866,-0.2509064676926658,0.06541930102488225,-0.3326344910227343,011200
28,Hyundai_Mobis,Automotive_&_Parts,2017,Q4,-0.05588870119521907,-0.187005481483282,-0.0028485334348657965,0.034579471773398485,-0.01236147486152861,0.043705768616109086,0.10841097358189695,012330
27,Hyundai_Development_Company,Construction_&_Real_Estate,2017,Q4,-0.25166523753867304,-0.14372560242074006,0.014849624293850283,0.12516392282869726,-0.01768559370756484,-0.12602269150846612,0.07366730375550985,012630
27,Hanon_Systems,Automotive_&_Parts,2017,Q4,0.21123697087378648,0.012916449417988751,-0.03668885359463525,0.0356167026484665,-0.044516018782760014,0.1252154727006376,0.10126203741168419,018880
27,Daekyo,Consumer_Services,2017,Q4,0.006340907975460183,0.028216687111926042,0.0038528340343406686,-0.12435889590423743,0.00047638453471987585,0.01906433905415761,-0.02159441614682004,019680
27,Hansum,Automotive_&_Parts,2017,Q4,-0.06558081957186539,-1.0307303241518522,0.0056642349084045085,0.24225711294339025,0.021611534984278147,-0.5430107811015628,0.012026265053960608,020000
28,Samsung_C&T,Construction_&_Real_Estate,2017,Q4,-0.10297309090909085,-0.29458634131907524,-0.011011929011618848,-0.06097193090148578,-0.0003190684128453469,0.010474934658539214,-0.08766103951139274,028260
27,Kangwon_Land,Consumer_Services,2017,Q4,-0.012063999999999941,0.3042130254275759,-0.11681244390354739,0.9419393250471746,-0.02607410995143744,-0.011615869372369358,-0.010737962588315816,035250
27,Daewoo_E&C,Construction_&_Real_Estate,2017,Q4,-0.06710987155963297,4.01528968736196,0.008809939794810706,0.08263755111927173,0.07400649718281582,0.008245683923955638,-0.19643259807662394,047040
27,Daewoo_International,Trading_&_Logistics,2017,Q4,-0.15428622222222216,0.11804043109013762,0.01071172615879401,-0.030797206163168056,-0.0087322024762857,-0.0299104051351764,-0.07275346646428481,047050
27,KEPCO_E&C,Construction_&_Real_Estate,2017,Q4,-0.1025162613065326,-12.346732695271303,0.006165866159152378,0.2776096975871404,-0.061282324044516834,-0.6977125365629877,0.2827402982812494,052690
27,Kumho_Tire,Automotive_&_Parts,2017,Q4,-0.21896055172413786,-16.486815947120885,0.10116699839765242,0.05734103321930617,0.1926556848595613,0.05352728072439783,-0.2981775761148859,073240
27,Hyundai_Glovis,Automotive_&_Parts,2017,Q4,-0.063339150583109,0.04321041386094637,-0.05494000629381013,0.04800876004493071,-0.053699710661595956,0.07298963784395873,-0.08241022438585396,086280
27,GKL,Consumer_Services,2017,Q4,0.045971714285714345,0.54910112366395,0.01578275906368176,0.0005576218213820816,-0.017560737009976846,0.07957874893856298,0.22604850675629307,114090
