,name,year,quarter,sector,Relative Return,특정 증권 등 소유 증감 수 변화율,전체 주식 수 변화율,자본총계 변화율,부채총계 변화율,비유동부채 변화율,당기손익-공정가치측정금융자산 변화율,매출액 변화율,특정 증권 등 소유 수 변화율,유동부채 변화율,Label,Code
20,S_hynix,2019,Q3,전기·전자,-0.07741926993211061,-0.027721305543425556,0.004634069199951241,-0.00900733823004285,0.061221656897542776,-0.05390192609822253,0.00017850082491959547,-0.06677504410234447,0.010771357384833258,0.14660346107341926,0.1793495404991916,000660
20,SEBANG_Global_Battery,2019,Q3,전기·전자,-0.0714067639196046,0.01388077169972013,0.01388077169972013,-0.019240566907413825,-0.008471709569513486,-0.18631505603803933,0.00016199131215414149,-0.05380907009515612,0.01388077169972013,0.004360015895044533,-0.09051471866849858,004490
21,Hansol_Technics,2019,Q3,전기·전자,0.04041051857756458,0.0,0.013883471298758776,-0.3212267906320341,-0.04277792319205398,-0.05711087944598492,0.013883471298758665,-0.3899521690821708,0.0,-0.04004944050629056,0.08096379221955946,004710
21,Samsung_Electronics,2019,Q3,전기·전자,0.043091569605277595,-0.016589486354903205,-0.015184517960695088,-0.012326159202728393,-0.062490946669257585,0.016681434263203898,0.00013501283632242123,-0.10629807740952124,-0.016104227496692936,-0.06815165126233369,0.057505912734716676,005930
21,Samsung_SDI,2019,Q3,전기·전자,0.088130946076821,0.013728672884164794,0.013728672884164794,-0.010049019773554546,0.0735926110558025,0.06256526518753847,7.235908983406976e-05,-0.05881921991854755,0.013728672884164794,0.08182581688171142,-0.04729046655776392,006400
20,Dong-A_Tire,2019,Q3,전기·전자,-0.049899997945242705,0.013884883686641647,0.013884883686641647,-0.006905089746013671,-0.14275143699266368,0.038328403195259986,0.00011751485981843494,-0.034832002913544935,0.013884883686641647,-0.208297789050073,-0.05125668336494038,007340
21,Samsung_Electro-Mechanics,2019,Q3,전기·전자,-0.06971722123480126,0.013736475735931508,0.01373647573593162,-0.027942616889657712,-0.1070920987953119,-0.11506118644821584,0.0001660332741288709,-0.11999227548834912,0.01373647573593162,-0.10599564141852791,0.06622780807625642,009150
20,LS_Electric,2019,Q3,전기·전자,0.06642645549256218,0.013877488865601473,0.013877488865601584,-0.02696221784729147,0.022620106051046807,-0.010285620164085074,9.074977689581753e-05,0.026005583899081808,0.013877488865601584,0.039334533231503155,-0.034279291315224315,010120
20,LG_Innotek,2019,Q3,전기·전자,-0.06907186477619481,0.013415859415702336,0.013415859415702336,-0.04664537692583548,-0.18344608055508194,0.012830934888766965,0.0015883490154079845,-0.61546665174393,0.013415859415702336,-0.3126231472999501,0.03045261914807605,011070
20,Iljin_Materials,2019,Q3,전기·전자,0.0073008188202362,0.013884593425973146,0.013884593425973146,-0.02106466991341005,-0.19925249678328538,-0.009322587671531268,0.00013984004599279455,-0.08518821603927984,0.013884593425973257,-0.44353550917495443,0.007110308002763752,020150
20,Korea_Electric_Terminal,2019,Q3,전기·전자,0.10294176337009917,0.013886588091570284,0.013886588091570173,0.0026960039816248393,0.10597006374926221,-0.03587680879844757,-5.3155909431470454e-05,0.020866594102559866,0.013886588091570062,0.14248885744081896,-0.28987234821011343,025540
21,Sindoh,2019,Q3,전기·전자,0.018306154740682475,0.013883970857982875,0.013883970857982764,-0.0035759145320333197,-0.18349458647696104,-0.052910746925739494,0.00033930975421814056,0.05250400296894331,0.013883970857982875,-0.23977200428691425,-0.14084419575801407,029530
20,LG_Display,2019,Q3,전기·전자,-0.08599448092244719,0.009543022758482733,0.009373013182938816,0.04542243959302583,-0.12103456706275684,-0.13885519231705334,6.193582796797158e-05,-0.10061100563801051,0.009542403208528394,-0.10520036462920745,-0.18347838743799144,034220
20,LG_Electronics,2019,Q3,전기·전자,0.053599686583534645,0.013613367443918833,0.014613720490828541,0.026161461152818255,0.001415434804856175,0.009147709604505394,0.00044503915509673043,0.16847645219768537,0.01445059493255585,-0.004815340739344531,-0.11870306082302742,066570
