,name,year,quarter,sector,Relative Return,유동자산 변화율,금리 변화율,자본총계 변화율,이익잉여금 변화율,비유동자산 변화율,주식 수 감소 변화율,Label,Code
11,현대중공업,2022,Q1,중공업,0.008843350200946575,0.00862991865938878,0.14767324592997877,0.0057258509602529095,0.003570993793777122,0.004137261369264067,0.0,0.07759604924450823,009540
11,삼성중공업,2022,Q1,중공업,-0.0025711368719416004,0.03910149021444864,0.14767324592997877,-0.011907474067928803,0.06310909157885902,-0.006120664537037301,0.0,0.11188207328538041,010140
11,현대미포조선,2022,Q1,중공업,0.025992331980153435,0.13030286725001217,0.14767324592997877,-0.012887148273489246,-0.017752162025870488,0.0040519659507056716,0.0,0.3573825938863026,010620
11,한화테크윈,2022,Q1,중공업,0.08882872308456666,0.03927322906832775,0.14767324592997877,0.03197752797345399,0.04511742248926098,0.0011958992327600892,0.0,0.3713514566696945,012450
11,현대엘리베이,2022,Q1,중공업,-0.01669566052987178,-0.11248677972897159,0.14767324592997877,-0.0246686200572529,-0.08879133966086128,0.10896091955609122,0.0,-0.09024746790815313,017800
11,두산중공업,2022,Q1,중공업,-0.09355048485255146,0.012877877374521729,0.14767324592997877,0.2497111043396889,-0.08318550368323585,0.004416556044622766,0.0,0.1690025133431057,034020
11,대우조선해양,2022,Q1,중공업,-0.026934303492610754,0.008116258926309294,0.14767324592997877,-0.23108230725069856,0.4628448718533067,0.02127115463177276,0.0,-0.05127262922484243,042660
11,두산인프라코어,2022,Q1,중공업,-0.050700168256299215,-0.03364279865595843,0.14767324592997877,0.04671185087791696,0.8605243961427484,-0.013070571421263777,0.0,-0.017884296459892278,042670
11,현대로템,2022,Q1,중공업,-0.03253498502405815,0.027296291107671067,0.14767324592997877,0.02462192567958499,-0.3339246174142728,-0.0024719271978187463,0.0,0.4349775264621344,064350
11,두산엔진,2022,Q1,중공업,0.1344756368995814,0.028131742888962252,0.14767324592997877,-0.21292096838452323,0.6379407965515194,-0.0035672642607071925,0.0,0.18668551948422235,082740
11,한진중공업,2022,Q1,중공업,0.05843379035784438,-0.01485913852827081,0.14767324592997877,-0.023033424495254473,0.006815927218161155,0.000629829771396917,0.0,-0.06468503145376733,097230
