,name,year,quarter,sector,Relative Return,유동자산 변화율,이익잉여금 변화율,자본총계 변화율,비유동자산 변화율,영업이익 변화율,기말 소유주식 수 변화율,Label,Code
27,현대중공업,2018,Q1,중공업,-0.039651490183877015,0.02496960283015448,0.02292411656563531,0.11721426126303869,-0.01745479738461775,-0.5089061319064693,0.0,-0.06897636726711195,009540
27,삼성중공업,2018,Q1,중공업,-0.024362785350564787,0.03166322389566445,-0.0355975428553853,-0.019080165525031112,-0.0009198741883615913,-0.8835802784307051,0.0,-0.10914166669867553,010140
27,현대미포조선,2018,Q1,중공업,-0.004316584655314457,-0.12422433289541157,0.12377806801350433,0.03743656707580634,0.16937753346358853,-1.5155859593344885,0.0,0.012971564211736245,010620
27,한화테크윈,2018,Q1,중공업,-0.03228483745982873,0.0036824320834403235,-0.007945894602256254,-0.004567038520823297,0.00792946970868913,-0.4248262927864417,0.0,-0.13077544158432783,012450
27,현대엘리베이,2018,Q1,중공업,0.44992560097887235,-0.05242123292632006,-0.08424800838238389,0.07524256789037809,0.038397854596544656,-0.22294547205243698,0.0,-0.07311258266872628,017800
27,두산중공업,2018,Q1,중공업,0.28054758102498945,0.12065072586060999,0.08226681826365523,0.032357656300485704,0.018494440068500984,14.71602566033602,0.0,-0.21265475363294267,034020
27,대우조선해양,2018,Q1,중공업,-0.050739980405324146,-0.043872656531876886,-0.8291012612793602,0.11976830257642268,-0.011683410539709005,-1.9687286705487725,0.0,0.028504566847158054,042660
27,두산인프라코어,2018,Q1,중공업,0.13536130743664754,0.1566227768729036,1.6519207781409349,0.043025797169464974,-0.007388865775002418,0.6882350062597915,0.0,-0.05946382075277562,042670
27,현대로템,2018,Q1,중공업,1.5299712638731477,-0.03556633622343264,-0.020357401879481762,-0.007522490879200983,-0.008140750980678346,-1.1095858970011583,0.0,-0.21379893321860194,064350
27,두산엔진,2018,Q1,중공업,0.1799848868986158,1.2875296145512047,53.70093902754336,-0.05905555590193756,-0.4879702227926622,-0.7987276569095104,0.0,-0.2146729236316297,082740
27,한진중공업,2018,Q1,중공업,0.13715988105591903,-0.05204847799713641,0.015365345642873285,-0.05177579382687558,-0.007871016488234073,-10.532848755940732,0.0,-0.13822197433200922,097230
