,name,sector,year,quarter,자본총계변화율,매출액변화율,영업이익변화율,이익잉여금변화율,비유동부채변화율,Relative Return,특정 증권 등 소유 증감 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 비율변화율,특정 증권 등 소유 수변화율,Label,Code
14,DL_Holdings,화학,2021,Q1,-0.21501002569757688,1.0020761368179334,0.9877566644656246,-0.07629522985208492,0.4410104661536678,-0.19171648502920763,-25.084755969120945,0.4961419756271903,-25.02707498665314,-37.49501774968823,0.0,000210
14,Hanwha_Corp,화학,2021,Q1,0.01771557273031299,0.37119150601161777,0.8674092355653699,0.024309973372858673,-0.01830424213874582,-0.15387976552789134,-0.07657174968039193,0.18767424788782194,-0.07655749327797023,-0.07672681008801407,0.04418485237483949,000880
14,Nexen_Tire,화학,2021,Q1,9.227538148359749e-05,-0.009363663555273849,0.6068478157237134,-0.0016222023527538987,-0.002205140787271853,-0.10018425988944424,0.0,0.008280032769925061,0.0,0.0,0.16023520642676709,002350
14,KCC,화학,2021,Q1,-0.02246055016054016,-0.26217025988814857,0.006602205007915751,0.14635272304969416,-0.27993770747395486,0.08634380928214963,-0.10217178369416491,0.01977087824588697,-0.10230590251650606,-0.10225092152478377,0.13696040038348412,002380
14,AmoreG,화학,2021,Q1,-0.009338471383921298,-0.028484486292844835,18.304194851846464,-0.015300913132181071,0.014029784058219308,-0.1205476429509175,-0.01065082755850355,-0.25663062414975624,-0.010654419316137087,-0.0108939366211247,0.1165781172910952,002790
14,Korea_Shell_Petroleum,화학,2021,Q1,0.09674709919178137,-0.13685548448926377,-0.7125812594630927,0.10497558223264447,-0.11986553335044303,-0.1618546226329893,0.0,0.13597325268474647,0.0,0.0,-0.08882705913962449,002960
14,Taekwang_Industrial,화학,2021,Q1,-0.03227584912624093,-0.41258837567702034,8.920383344580488,-0.02651498556485654,-0.025563184027246555,-0.02298713418922968,-0.009112907611086518,0.2124074630660957,0.0,-0.009112907611086518,0.0730426162000025,003240
14,Samsung_Fine Chemicals,화학,2021,Q1,-0.005558745384512287,-0.13876535187441452,-0.29908926778445166,-0.007871355489874166,0.00473464347757202,-0.16195551044574152,0.3889621171671007,-0.060397767256061385,0.38855776085810034,-0.1346381345251353,-0.015481799747853471,004000
15,Korea_Petrochemical_Ind,화학,2021,Q1,-0.02860347175729583,-0.0913063426695584,-0.05717714309136368,-0.034279130184842854,-0.011900632297692448,0.13253449099290038,0.07537320215359955,-0.35200202697712446,0.07536666546592463,0.06998459427381898,0.3314244629683703,006650
15,Kukdo_Chemical,화학,2021,Q1,-0.03464315359080228,-0.2893823123820307,-2.642956885570864,-0.03950323359927488,0.014627114182033663,-0.03956058670607451,-0.19328683434414184,-0.20692931404704762,-0.19703759235907148,-0.12295874298115961,0.20570319690308198,007690
14,Seohung,화학,2021,Q1,-0.018058484661483076,-0.4495244610919389,-1.9485135908094904,-0.03142217241916789,-0.020932027744078097,-0.3481026965929277,0.0,0.34229151245543454,0.0,0.0,-0.06361046087241062,008490
14,Hanwha_Solutions,화학,2021,Q1,-0.286056844432067,-0.1201464519780171,-2.639866837302879,-0.07130362726068284,-0.014863841426375979,-0.04141020763577294,-0.12520483377403058,0.48917432422191676,0.0,0.16427086582724415,0.0001394843836921844,009830
14,S-Oil,화학,2021,Q1,-0.06092351521414341,-0.24103268630151642,-6.710412732667925,-0.08599572571568403,0.05927936203323869,0.0838916656339927,-0.21364792447889158,-0.18039199192644717,0.0,-0.29838370783606294,0.09942158121271609,010950
14,Lotte_Chemical,화학,2021,Q1,-0.024631596270204392,-0.34555809746780564,-3.0394969653697794,-0.023290046377433704,0.004073864595952381,0.12974796056851096,-0.4557730780054383,-0.19053200937458903,-0.19774972851214767,-0.19338374935622804,0.017167920058051858,011170
14,Kumho_Petrochemical,화학,2021,Q1,-0.1063793663135475,-0.30315422894226307,-1.310823839670491,-0.10847083269252789,0.055493514886803985,0.07921192427008028,-0.11939149055673037,-1.079114943454302,0.0,0.01340588341090565,0.7494972479645489,011780
14,SKC,화학,2021,Q1,-0.008099688538685257,-0.09073987840776554,1.1467586940198626,-0.009380801012584428,-0.25450882589631707,-0.12192790520074498,-0.0418682530365877,-0.14646829465571964,-0.04028021102122703,0.005945746165688659,0.27576487172409353,011790
15,Hansol_Chemical,화학,2021,Q1,-0.048837741773568144,-0.1368096346461214,-0.976050912606699,-0.05081905801661035,-0.1206395598325416,0.018780420290189226,-2.0663179328233245,0.2387522586740538,-2.062495668239993,0.006346843527017532,0.15160047198558108,014680
14,Dongwon_Systems,화학,2021,Q1,0.010276431142952402,-0.05435222083540281,0.06903801262249332,0.03854123724247438,0.0001980964944598984,0.26519445401765573,-0.040928593193554574,0.2626634387926612,-0.047797441938219665,-0.0428514689085564,0.27839546771261564,014820
