,name,sector,year,quarter,Relative Return,자본총계 변화율,영업이익 변화율,실업률 변화율,GDP 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 비율 변화율,전체 주주 수 변화율,Label,Code
24,DL_Holdings,화학,2018,Q3,0.08279547369027626,-0.07999514816562536,-0.05421065651469781,-0.11607142857142883,-0.005201307569219216,-0.07275654946519006,-0.0761890562827332,-0.050059697986514884,-0.07277641213848751,-0.05452486706461679,0.08077439818280213,000210
24,Hanwha_Corp,화학,2018,Q3,-0.14476644695145147,-0.01753997402441021,0.02236815323470487,-0.11607142857142883,-0.005201307569219216,-0.04848992393295659,-0.04848992393295659,-0.04848992393295681,-0.04848992393295659,-0.04848992393295659,0.0382783137904042,000880
24,Nexen_Tire,화학,2018,Q3,-0.12300048250115522,-0.024260341468678837,0.12780931294998954,-0.11607142857142883,-0.005201307569219216,0.0,0.0,-0.04861724164676695,0.0,-0.04861724164676695,-0.061789821571848806,002350
24,KCC,화학,2018,Q3,-0.0002613620167328315,-0.05616902516580091,0.041605592623785936,-0.11607142857142883,-0.005201307569219216,-0.0485707317250168,-0.04857073172501658,-0.04857073172501658,-0.04857073172501658,-0.04857073172501658,0.028891833688835154,002380
24,AmoreG,화학,2018,Q3,-0.10947183480340325,-0.00046440794502267124,0.5609708151648622,-0.11607142857142883,-0.005201307569219216,-0.048605725571213565,-0.048605725571213565,-0.048605725571213565,-0.048605725571213565,-0.04860572557121334,-0.25524875329167107,002790
24,Korea_Shell_Petroleum,화학,2018,Q3,0.09162372767510019,-0.03257876690316985,0.1602738239583087,-0.11607142857142883,-0.005201307569219216,0.0,0.0,-0.048622614613673454,0.0,-0.048622614613673454,-0.030287990070017305,002960
24,Taekwang_Industrial,화학,2018,Q3,0.16158661427303833,-0.036795430196644,-0.351310303206839,-0.11607142857142883,-0.005201307569219216,-0.04862421392394878,-0.04862421392394878,-0.048624213923948556,0.0,-0.048624213923948556,0.21481170418841875,003240
24,Samsung_Fine Chemicals,화학,2018,Q3,-0.03023573367604228,-0.030888577698597208,0.33288118555548185,-0.11607142857142883,-0.005201307569219216,-0.048606659332519175,-0.048606659332519175,-0.048606659332519175,-0.04860665933251895,-0.048606659332519175,-0.2024831313532575,004000
25,Korea_Petrochemical_Ind,화학,2018,Q3,-0.10900935888132407,-0.04570132897941148,0.19413240376142082,-0.11607142857142883,-0.005201307569219216,-0.04860956797574323,-0.04860956797574323,-0.04860956797574323,-0.04860956797574301,-0.04860956797574301,-0.25616826260343384,006650
25,Kukdo_Chemical,화학,2018,Q3,0.06690037574092825,-0.02407979598383969,0.39245868060809364,-0.11607142857142883,-0.005201307569219216,-0.04861996012691039,-0.04861996012691061,-0.04861996012691039,-0.04861996012691039,-0.04861996012691039,-0.11573932696089355,007690
24,Seohung,화학,2018,Q3,0.03811667562273159,-0.007119853108521479,0.49411216402147506,-0.11607142857142883,-0.005201307569219216,0.0,0.0,-0.048621686152228616,0.0,-0.048621686152228616,-0.026386094863774273,008490
24,Hanwha_Solutions,화학,2018,Q3,-0.21882819890283353,-0.04174439275658859,0.5427674014635993,-0.11607142857142883,-0.005201307569219216,-0.049327592325297154,-0.04909380904146321,-0.04917516424554713,0.0,-0.04912805875100301,-0.12129218432150549,009830
24,S-Oil,화학,2018,Q3,-0.040899692780903565,-0.023729101224574833,0.2204937024197342,-0.11607142857142883,-0.005201307569219216,-0.04797061269010561,-0.04797061269010583,-0.04797061269010583,0.0,-0.04797061269010561,0.24649458808242386,010950
24,Lotte_Chemical,화학,2018,Q3,-0.14031012895228925,-0.03221363082675133,0.32878799193110586,-0.11607142857142883,-0.005201307569219216,-0.04805190190234865,-0.04805190190234887,-0.04805190190234865,-0.04805190190234887,-0.04805190190234887,-0.20233635641730832,011170
24,Kumho_Petrochemical,화학,2018,Q3,0.26773248679132466,-0.025748252417875817,0.21087909731863896,-0.11607142857142883,-0.005201307569219216,-0.048610364231750136,-0.048610364231749914,-0.048610364231749914,0.0,-0.048610364231750136,-0.15183311161513885,011780
24,SKC,화학,2018,Q3,0.18740901216500144,-0.013417773602673932,-0.020729600841884244,-0.11607142857142883,-0.005201307569219216,-0.048594858620128134,-0.048594858620128356,-0.048594858620128134,-0.048594858620128134,-0.048594858620128134,-0.020794599953789815,011790
25,Hansol_Chemical,화학,2018,Q3,0.16418462280788898,-0.06648181193238356,-0.1871692166386052,-0.11607142857142883,-0.005201307569219216,-0.04862138131633564,-0.04862138131633564,-0.04862138131633564,-0.04862138131633542,-0.04862138131633564,0.01578726290178739,014680
24,Dongwon_Systems,화학,2018,Q3,-0.22845953957311552,-0.019072609571462618,0.2737450356751623,-0.11607142857142883,-0.005201307569219216,-0.04861965997150408,-0.04861965997150408,-0.04861965997150408,-0.04861965997150408,-0.04861965997150408,-0.07201223389006951,014820
24,UNID,화학,2018,Q3,0.08625170225539017,-0.00199546868256828,0.1968575019672716,-0.11607142857142883,-0.005201307569219216,-0.04862076308426455,-0.04862076308426433,-0.04862076308426433,-0.04862076308426433,-0.04862076308426455,-0.12382672331968766,014830
24,Namhae_Chemical,화학,2018,Q3,0.12355734598035541,-0.008320993439607571,0.506695104620112,-0.11607142857142883,-0.005201307569219216,0.0,0.0,-0.04862138157582341,0.0,-0.04862138157582341,-0.10300762016669658,025860
24,LG_Household & Health Care,화학,2018,Q3,0.19558759868649198,-0.0587131938398191,-0.16471093430076666,-0.11607142857142883,-0.005201307569219216,-0.04861879295086924,-0.04861879295086946,-0.04861879295086924,-0.04861879295086924,-0.04861879295086946,-0.09321839300042023,051900
24,LG_Chem,화학,2018,Q3,-0.10316668521934744,-0.030292322047671183,0.04446786408923775,-0.11607142857142883,-0.005201307569219216,-0.043728337215442004,-0.044554658993274154,-0.04470485167349092,0.0,-0.044987735886994784,0.09460115587176021,051910
24,Huchems,화학,2018,Q3,0.23220479609122016,-0.06992080841690762,0.1658938394958761,-0.11607142857142883,-0.005201307569219216,-0.04862102342586638,-0.04862102342586616,-0.04862102342586616,-0.04862102342586616,-0.04862102342586616,-0.1501949096344711,069260
24,Kumho_Tire,화학,2018,Q3,0.10380898489073451,-0.5728904221422659,10.421324560725475,-0.11607142857142883,-0.005201307569219216,-0.04865496621724752,-0.04865496621724752,-0.04865496621724752,0.0,-0.04865496621724752,-0.1660393694922828,073240
24,Able_C&C,화학,2018,Q3,-0.17688611299968893,0.03054343966071904,-1.9442610576896167,-0.11607142857142883,-0.005201307569219216,-0.048622131203808205,-0.048622131203808205,-0.048622131203808205,-0.04862213120380798,-0.048622131203808205,-0.07081028650330122,078520
24,Huvepharma,화학,2018,Q3,-0.17319417175316254,-0.012812181252755073,0.6112528184480952,-0.11607142857142883,-0.005201307569219216,-0.04862226727043217,-0.04862226727043217,-0.04862226727043217,-0.04862226727043217,-0.04862226727043217,0.036355313475336354,079980
24,Amorepacific,화학,2018,Q3,0.03511943870051926,-0.01442570780103658,0.3594339192551874,-0.11607142857142883,-0.005201307569219216,-0.04847644720931066,-0.04847644720931066,-0.048476447209310436,0.0,-0.048476447209310436,-0.19659742882527648,090430
24,Huvis,화학,2018,Q3,0.06531951710827191,-0.04224232729131305,0.3347767611912924,-0.11607142857142883,-0.005201307569219216,-0.04862256859236935,-0.04862256859236935,-0.048622568592369575,-0.04862256859236935,-0.04862256859236935,0.029455242769258483,093370
24,SK_Innovation,화학,2018,Q3,-0.0012545173180887187,0.03614033079198187,0.20420570127209703,-0.11607142857142883,-0.005201307569219216,-0.04760420011268285,-0.04760420011268285,-0.04760420011268285,-0.04760420011268285,-0.04760420011268285,0.0650086508471077,096770
24,LG_Hausys,화학,2018,Q3,-0.06553695260594256,-0.003920549463439782,0.7551955212486217,-0.11607142857142883,-0.005201307569219216,-0.04862211496108304,-0.04862211496108282,-0.04862211496108304,-0.04862211496108282,-0.04862211496108304,0.009783050001022767,108670
