,name,sector,year,quarter,자본총계변화율,영업이익변화율,매출액변화율,Relative Return,특정 증권 등 소유 증감 수변화율,전체 주주 수변화율,특정 증권 등 소유 증감 비율변화율,특정 증권 등 소유 수변화율,전체 주식 수변화율,자기주식수변화율,Label,Code
23,DL_Holdings,화학,2018,Q4,0.010795360866090342,0.4319441607811294,-0.06392938994232877,0.08077439818280213,-0.06488820899334136,0.013256146712637307,-0.06495243366957415,-0.09434745401518851,0.028978241237713087,-0.11123163900656508,0.38122201956557783,000210
23,Hanwha_Corp,화학,2018,Q4,-0.024296724220013832,0.5415465871859214,-0.11243203080144548,0.0382783137904042,0.01454453942549594,0.014081616427907395,0.01452852268093796,0.014639548114154133,0.0048275834935157524,-0.47248235791416904,0.0870147024924071,000880
23,Nexen_Tire,화학,2018,Q4,-0.02295899647286337,0.04679286261967508,0.03288258678424427,-0.061789821571848806,0.0,-0.00504813674704363,0.0,0.0,-0.10853291346781568,-0.19344768577150107,0.09648517746031468,002350
23,KCC,화학,2018,Q4,0.06350978160754162,0.528298079347882,-0.042456063148161194,0.028891833688835154,-0.03823286701522499,0.06654304669199629,-0.03838102680256816,-0.03827659016570539,0.12324320136142186,0.20746601102658724,0.048137390323384543,002380
23,AmoreG,화학,2018,Q4,4.896524352504539e-05,1.4731720348936368,-0.00014579079835952413,-0.25524875329167107,0.0006368312587543556,0.0004286493356511212,0.0006366769848016318,0.0006263862046437252,0.00041507154193043405,-0.12166007834699344,-0.09536488850944644,002790
23,Korea_Shell_Petroleum,화학,2018,Q4,-0.06244420148950458,-0.03742368629323556,-0.03462213424937444,-0.030287990070017305,0.0,-0.06551301634278461,0.0,0.0,-0.06612324064964281,0.0,0.09956734330658502,002960
23,Taekwang_Industrial,화학,2018,Q4,-0.0010396294498014047,0.41182492014506766,0.05489824942782329,0.21481170418841875,-0.021752977445203436,-0.030133937367247343,0.0,-0.021752977445203436,-0.028493059664879583,0.9847945212966422,-0.06877798043442218,003240
23,Samsung_Fine Chemicals,화학,2018,Q4,-0.011753002319170536,0.20650241567080463,0.026237105118248616,-0.2024831313532575,-0.23370098506461634,-0.011887857004954316,-0.23373088514835683,-0.08151874147759286,-0.014547269123172057,-0.31433679008490256,-0.07323534477550744,004000
24,Korea_Petrochemical_Ind,화학,2018,Q4,-0.006880373574342125,0.7925785877892461,0.003303169407719575,-0.25616826260343384,-0.14710079671158582,-0.02783363070577516,-0.14708835387659525,-0.14146507937641517,-0.07557826593297556,-0.08320492981748173,-0.03453884999963955,006650
24,Kukdo_Chemical,화학,2018,Q4,-0.008014059021864472,0.5761538463382565,0.06360345071637508,-0.11573932696089355,0.010296071381900807,-0.005246073036593968,0.011928685251143434,-0.010222452001714233,-0.014301266511867139,-0.08408397123200162,-0.032670547107393616,007690
23,Seohung,화학,2018,Q4,0.0016437955968503504,-0.7049147169809649,0.015432453304155658,-0.026386094863774273,0.0,-0.016301222215425293,0.0,0.0,-0.020232251314408423,-0.5935577784156296,-0.12117414656860748,008490
23,Hanwha_Solutions,화학,2018,Q4,0.02607372775734651,1.585650773059006,0.1101055958890903,-0.12129218432150549,0.019325219412613004,0.042848487871967156,0.0,-0.041177488669712714,0.05339907632566887,0.0059024294703996505,0.17519825786635992,009830
23,S-Oil,화학,2018,Q4,0.05030401904803894,2.0587155436080478,0.04544106316714713,0.24649458808242386,0.06917548581895072,0.03558771537741512,0.0,0.1336369416359432,0.0355877153774149,-0.15233233703040083,-0.1556392943030353,010950
23,Lotte_Chemical,화학,2018,Q4,-0.011175181305473014,0.7394944008475162,0.09896446875333165,-0.20233635641730832,0.2348492377106125,0.04358737643075783,0.1306821279925069,0.12839131740325482,0.017593905675142407,0.057030780321518426,0.12762679909396948,011170
23,Kumho_Petrochemical,화학,2018,Q4,-0.00542871974838488,0.39588330722143583,0.07601575715670084,-0.15183311161513885,0.026969243893503525,-0.0024986618185964815,0.0,-0.20956441234441758,0.0018322928332999977,-0.16572507473671183,0.029370167713725984,011780
23,SKC,화학,2018,Q4,0.014373308451696487,0.400857335243179,0.08016935724896268,-0.020794599953789815,-0.036853628679485606,-0.015327480964134166,-0.025259955603560424,0.005106137381037268,-0.008620375397380586,-0.1476594704470089,-0.029387593564551118,011790
24,Hansol_Chemical,화학,2018,Q4,-0.029320084861530038,0.45002932869635526,0.023118069690952536,0.01578726290178739,1.3615577121218672,-0.001937966419609527,1.3601201226861228,-0.09786204946688604,0.04053398641937611,-0.21913758359140134,0.10852340670303054,014680
23,Dongwon_Systems,화학,2018,Q4,-0.010131170903208364,-0.05174950669357936,0.054145008452961774,-0.07201223389006951,-0.07287711910596428,-0.05817938474295947,-0.09961149372676514,-0.08029677644594035,-0.0567768106641644,-2.547228073545252,0.0008563597881533491,014820
23,UNID,화학,2018,Q4,0.01264817817306163,0.5578580924633497,0.061082439143466005,-0.12382672331968766,0.07835741561870013,0.008693964397803677,0.07838538109077697,0.06133246825711525,-0.04575633373988075,1.0,0.05735285498156882,014830
23,Namhae_Chemical,화학,2018,Q4,0.037832381914066904,3.0370745902153797,0.10603747092591742,-0.10300762016669658,0.0,0.050598043517894875,0.0,0.0,0.04777551741841202,-0.15068539259709235,-0.03544464710108883,025860
23,LG_Household & Health Care,화학,2018,Q4,-0.03731675195165418,0.1907627042614286,0.030751607298841743,-0.09321839300042023,-0.07195198484928511,-0.09836142425515915,-0.07195658420731932,-0.07195442752888748,-0.060466573047157635,-0.24913683419131294,-0.009963627860319207,051900
