,name,sector,year,quarter,Relative Return,자본총계 변화율,영업이익 변화율,실업률 변화율,GDP 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 비율 변화율,전체 주주 수 변화율,Label,Code
8,DL_Holdings,화학,2022,Q3,0.3278752199402504,0.00020523442456932273,0.9951645335051398,0.023255813953488302,-0.003895125891120621,-0.029336110220683498,-0.02952321743223285,-0.027864810245194382,-0.02933721591826388,-0.02819127567330737,-0.1133258648703858,000210
8,Hanwha_Corp,화학,2022,Q3,-0.018147012256829353,-0.007237971369640883,-2.160412601059381,0.023255813953488302,-0.003895125891120621,-0.027751743351785763,-0.027751743351785763,-0.027751743351785763,-0.027751743351785763,-0.027751743351785763,0.0308205276457557,000880
8,Nexen_Tire,화학,2022,Q3,-0.017463106506030612,0.0036418350074910455,0.6745060673005072,0.023255813953488302,-0.003895125891120621,0.0,0.0,-0.02779422326143699,0.0,-0.02779422326143699,0.43506594341939125,002350
8,KCC,화학,2022,Q3,0.0015626287880870227,0.05766222492752604,0.15603064010408296,0.023255813953488302,-0.003895125891120621,-0.027248195243984696,-0.02724819524398492,-0.027248195243984696,-0.02724819524398492,-0.02724819524398492,-0.10755655970170737,002380
8,AmoreG,화학,2022,Q3,0.004666088602046731,-0.016273550416525895,0.026072311989457364,0.023255813953488302,-0.003895125891120621,-0.027791565559684983,-0.027791565559685205,-0.027791565559684983,-0.027791565559684983,-0.027791565559684983,-0.1953760041461518,002790
8,Korea_Shell_Petroleum,화학,2022,Q3,0.1245402088181344,-0.059513455242018454,0.3239116876667799,0.023255813953488302,-0.003895125891120621,0.0,0.0,-0.02779135775203634,0.0,-0.02779135775203634,0.09474644483344002,002960
8,Taekwang_Industrial,화학,2022,Q3,0.02712823964781555,0.005335339271358763,-23.745655810082592,0.023255813953488302,-0.003895125891120621,-0.02775445673880239,-0.02775445673880239,-0.027754456738802613,0.0,-0.027754456738802613,-0.13026489303504069,003240
8,Samsung_Fine Chemicals,화학,2022,Q3,-0.02425088810803311,-0.09408129067995752,0.07360055749788275,0.023255813953488302,-0.003895125891120621,-0.02780122648933614,-0.027801226489335917,-0.02780122648933614,-0.027801226489335917,-0.027801226489335917,-0.05705126970002132,004000
9,Korea_Petrochemical_Ind,화학,2022,Q3,-0.10607379927711494,0.02089210293554078,-0.37894913846028655,0.023255813953488302,-0.003895125891120621,-0.027770855896110058,-0.027770855896109836,-0.027770855896110058,-0.027770855896110058,-0.027770855896110058,-0.06991258951200548,006650
9,Kukdo_Chemical,화학,2022,Q3,0.010923198954720242,-0.03445530376879469,0.5765640936081425,0.023255813953488302,-0.003895125891120621,-0.02779059017167662,-0.0277905901716764,-0.02779059017167662,-0.0277905901716764,-0.0277905901716764,-0.04837600414615183,007690
8,Seohung,화학,2022,Q3,-0.034619665911971215,-0.03165307200133438,0.07449384509032819,0.023255813953488302,-0.003895125891120621,0.0,0.0,-0.02779173104858268,0.0,-0.027791731048582458,0.07019081613034588,008490
8,Hanwha_Solutions,화학,2022,Q3,0.21316707783864586,-0.037575895262131676,-1.26942788193859,0.023255813953488302,-0.003895125891120621,-0.029392336381979245,-0.028871473614363374,-0.029054149228931347,0.0,-0.02894856461612072,0.31461916574059035,009830
8,S-Oil,화학,2022,Q3,0.22593324123059488,0.03519203698072837,0.7030724773744221,0.023255813953488302,-0.003895125891120621,-0.027743220676303304,-0.027743220676303304,-0.027743220676303304,0.0,-0.027743220676303304,-0.12113210170712742,010950
8,Lotte_Chemical,화학,2022,Q3,0.023443846300769455,-0.001766300146953892,-14.398458730538351,0.023255813953488302,-0.003895125891120621,-0.028090935100699488,-0.028090935100699488,-0.028090935100699488,-0.028090935100699488,-0.02809093510069971,-0.12233255990113363,011170
8,Kumho_Petrochemical,화학,2022,Q3,0.058571796091371975,-0.02425606561425875,0.24088167001384064,0.023255813953488302,-0.003895125891120621,-0.02773555484529533,-0.027735554845295107,-0.027735554845295107,0.0,-0.02773555484529533,-0.08931194720665005,011780
8,SKC,화학,2022,Q3,0.028105541034952997,-0.015953142105096685,0.31771389742795586,0.023255813953488302,-0.003895125891120621,-0.027725953415815185,-0.027725953415814963,-0.027725953415814963,-0.027725953415814963,-0.027725953415814963,-0.2852566011610772,011790
9,Hansol_Chemical,화학,2022,Q3,0.0006948903883793323,0.0044331309533284236,0.29472189828788,0.023255813953488302,-0.003895125891120621,-0.027790008225615503,-0.027790008225615503,-0.027790008225615503,-0.027790008225615503,-0.027790008225615503,-0.07393758050083162,014680
8,Dongwon_Systems,화학,2022,Q3,0.08063192774054473,-0.02807809000422168,0.2736595516772401,0.023255813953488302,-0.003895125891120621,-0.027784697008511605,-0.027784697008511383,-0.027784697008511605,-0.027784697008511605,-0.027784697008511383,-0.07864873141887908,014820
8,UNID,화학,2022,Q3,0.07407134231692201,-0.0289436847483433,-0.20335001890930848,0.023255813953488302,-0.003895125891120621,-0.02779841766282365,-0.027798417662823427,-0.027798417662823427,-0.02779841766282365,-0.02779841766282365,-0.045190387172995464,014830
8,Namhae_Chemical,화학,2022,Q3,0.04745421412177207,-0.021015696209563117,0.36436377573955125,0.023255813953488302,-0.003895125891120621,0.0,0.0,-0.027789959288636812,0.0,-0.027789959288636812,-0.088553181323329,025860
8,LG_Household & Health Care,화학,2022,Q3,-0.04870396907913002,-0.01992953380016016,0.13497987258462707,0.023255813953488302,-0.003895125891120621,-0.02776102441324535,-0.027761024413245128,-0.027761024413245128,-0.027761024413245128,-0.027761024413245128,0.01950634879502465,051900
